date,team1,team2,score1,score2
13.07.1994,Обувщик Лида,Молодечно,0,0
13.07.1994,Динамо Минск,Динамо-93 Минск,1,1
13.07.1994,Шахтер Солигорск,Бобруйск,1,2
13.07.1994,Локомотив Витебск,Динамо Брест,1,0
13.07.1994,Неман Гродно,Шинник Бобруйск,0,0
13.07.1994,Торпедо Могилев,Днепр Могилёв,2,2
13.07.1994,Торпедо Минск,Ведрич Речица,2,0
14.07.1994,Двина Витебск,Гомсельмаш,4,0
17.07.1994,Молодечно,Ведрич Речица,6,0
17.07.1994,Днепр Могилёв,Динамо-93 Минск,0,0
17.07.1994,Локомотив Витебск,Неман Гродно,0,0
17.07.1994,Шинник Бобруйск,Торпедо Могилев,0,0
17.07.1994,Динамо Брест,Шахтер Солигорск,0,0
18.07.1994,Торпедо Минск,Гомсельмаш,1,0
18.07.1994,Двина Витебск,Обувщик Лида,1,0
02.11.1994,Динамо Минск,Бобруйск,7,0
24.07.1994,Днепр Могилёв,Молодечно,2,3
24.07.1994,Динамо-93 Минск,Неман Гродно,1,4
24.07.1994,Обувщик Лида,Торпедо Могилев,1,0
24.07.1994,Бобруйск,Динамо Брест,6,1
24.07.1994,Двина Витебск,Локомотив Витебск,1,0
24.07.1994,Гомсельмаш,Шахтер Солигорск,1,1
25.07.1994,Шинник Бобруйск,Торпедо Минск,0,0
10.11.1994,Ведрич Речица,Динамо Минск,0,2
01.08.1994,Динамо Брест,Торпедо Минск,0,1
01.08.1994,Динамо-93 Минск,Ведрич Речица,3,0
01.08.1994,Шахтер Солигорск,Динамо Минск,1,2
01.08.1994,Молодечно,Бобруйск,0,0
01.08.1994,Обувщик Лида,Шинник Бобруйск,2,1
01.08.1994,Торпедо Могилев,Гомсельмаш,0,1
01.08.1994,Неман Гродно,Двина Витебск,0,1
19.10.1994,Локомотив Витебск,Днепр Могилёв,1,3
04.08.1994,Динамо Минск,Торпедо Могилев,2,2
06.08.1994,Бобруйск,Локомотив Витебск,3,0
06.08.1994,Торпедо Минск,Молодечно,2,0
07.08.1994,Шинник Бобруйск,Динамо Брест,0,0
07.08.1994,Шахтер Солигорск,Динамо-93 Минск,1,0
07.08.1994,Днепр Могилёв,Неман Гродно,1,1
07.08.1994,Гомсельмаш,Обувщик Лида,2,0
07.08.1994,Ведрич Речица,Двина Витебск,0,3
19.07.1994,Динамо Минск,Локомотив Витебск,6,1
19.07.1994,Бобруйск,Торпедо Минск,0,0
20.07.1994,Торпедо Могилев,Ведрич Речица,1,0
21.07.1994,Днепр Могилёв,Шинник Бобруйск,2,0
