date,team1,team2,score1,score2
03.04.2010,Торпедо Жодино,БАТЭ Борисов,0,1
03.04.2010,Неман Гродно,Витебск,0,0
03.04.2010,Динамо Брест,Шахтер Солигорск,1,1
03.04.2010,Нафтан Новополоцк,Партизан Минск,1,0
03.04.2010,Белшина Бобруйск,Динамо Минск,0,2
03.04.2010,Минск,Днепр Могилев,2,1
10.04.2010,Динамо Брест,Торпедо Жодино,3,2
10.04.2010,Динамо Минск,Минск,0,2
10.04.2010,Витебск,Нафтан Новополоцк,4,2
10.04.2010,Шахтер Солигорск,Партизан Минск,1,0
10.04.2010,БАТЭ Борисов,Белшина Бобруйск,2,0
10.04.2010,Днепр Могилев,Неман Гродно,0,0
14.04.2010,Партизан Минск,Витебск,0,2
14.04.2010,Белшина Бобруйск,Динамо Брест,1,0
14.04.2010,Минск,БАТЭ Борисов,0,0
14.04.2010,Нафтан Новополоцк,Днепр Могилев,5,0
14.04.2010,Торпедо Жодино,Шахтер Солигорск,1,1
14.04.2010,Неман Гродно,Динамо Минск,0,1
18.04.2010,Торпедо Жодино,Белшина Бобруйск,1,2
18.04.2010,Днепр Могилев,Партизан Минск,3,0
18.04.2010,Динамо Брест,Минск,2,1
18.04.2010,БАТЭ Борисов,Неман Гродно,0,0
18.04.2010,Динамо Минск,Нафтан Новополоцк,0,0
18.04.2010,Шахтер Солигорск,Витебск,1,1
23.04.2010,Партизан Минск,Динамо Минск,0,2
24.04.2010,Минск,Торпедо Жодино,2,1
24.04.2010,Витебск,Днепр Могилев,1,1
24.04.2010,Белшина Бобруйск,Шахтер Солигорск,1,0
24.04.2010,Неман Гродно,Динамо Брест,0,0
24.04.2010,Нафтан Новополоцк,БАТЭ Борисов,0,2
28.04.2010,Белшина Бобруйск,Минск,1,0
28.04.2010,Торпедо Жодино,Неман Гродно,2,0
28.04.2010,БАТЭ Борисов,Партизан Минск,6,0
28.04.2010,Динамо Брест,Нафтан Новополоцк,0,0
28.04.2010,Динамо Минск,Витебск,1,1
28.04.2010,Шахтер Солигорск,Днепр Могилев,0,0
02.05.2010,Нафтан Новополоцк,Торпедо Жодино,1,1
02.05.2010,Витебск,БАТЭ Борисов,0,0
02.05.2010,Неман Гродно,Белшина Бобруйск,2,2
02.05.2010,Минск,Шахтер Солигорск,0,2
02.05.2010,Днепр Могилев,Динамо Минск,1,0
02.05.2010,Партизан Минск,Динамо Брест,0,3
07.05.2010,Торпедо Жодино,Партизан Минск,2,2
07.05.2010,БАТЭ Борисов,Днепр Могилев,3,0
07.05.2010,Минск,Неман Гродно,3,1
07.05.2010,Белшина Бобруйск,Нафтан Новополоцк,1,0
07.05.2010,Шахтер Солигорск,Динамо Минск,2,4
07.05.2010,Динамо Брест,Витебск,5,2
11.05.2010,Днепр Могилев,Динамо Брест,2,1
11.05.2010,Витебск,Торпедо Жодино,0,2
11.05.2010,Нафтан Новополоцк,Минск,0,0
11.05.2010,Динамо Минск,БАТЭ Борисов,0,1
11.05.2010,Неман Гродно,Шахтер Солигорск,0,0
11.05.2010,Партизан Минск,Белшина Бобруйск,1,2
15.05.2010,Динамо Брест,Динамо Минск,1,2
15.05.2010,Неман Гродно,Нафтан Новополоцк,0,0
15.05.2010,Торпедо Жодино,Днепр Могилев,2,3
15.05.2010,Белшина Бобруйск,Витебск,0,0
15.05.2010,Шахтер Солигорск,БАТЭ Борисов,0,0
15.05.2010,Минск,Партизан Минск,3,0
19.05.2010,Динамо Минск,Торпедо Жодино,5,1
19.05.2010,БАТЭ Борисов,Динамо Брест,1,0
21.05.2010,Днепр Могилев,Белшина Бобруйск,1,3
21.05.2010,Нафтан Новополоцк,Шахтер Солигорск,0,2
21.05.2010,Партизан Минск,Неман Гродно,0,4
21.05.2010,Витебск,Минск,0,3
05.06.2010,Шахтер Солигорск,Динамо Брест,2,0
05.06.2010,Днепр Могилев,Минск,1,5
05.06.2010,БАТЭ Борисов,Торпедо Жодино,1,0
05.06.2010,Партизан Минск,Нафтан Новополоцк,1,1
05.06.2010,Динамо Минск,Белшина Бобруйск,3,0
05.06.2010,Витебск,Неман Гродно,2,2
09.06.2010,Торпедо Жодино,Динамо Брест,0,1
09.06.2010,Нафтан Новополоцк,Витебск,0,0
09.06.2010,Неман Гродно,Днепр Могилев,1,2
09.06.2010,Партизан Минск,Шахтер Солигорск,0,2
09.06.2010,Белшина Бобруйск,БАТЭ Борисов,0,1
09.06.2010,Минск,Динамо Минск,0,2
13.06.2010,Витебск,Партизан Минск,0,1
13.06.2010,БАТЭ Борисов,Минск,1,2
13.06.2010,Днепр Могилев,Нафтан Новополоцк,1,0
13.06.2010,Динамо Брест,Белшина Бобруйск,1,1
13.06.2010,Динамо Минск,Неман Гродно,1,0
