date,team1,team2,score1,score2
11.04.1997,Днепр Могилёв,Нафтан-Девон Новополоцк,2,1
12.04.1997,Неман Гродно,Белшина Бобруйск,0,2
12.04.1997,Шахтер Солигорск,Локомотив-96 Витебск,0,1
12.04.1997,Молодечно,Коммунальник Слоним,0,1
12.04.1997,Торпедо-Кадино Могилев,Динамо Минск,1,4
12.04.1997,Торпедо Минск,Динамо-93 Минск,0,3
12.04.1997,Динамо Брест,Атака Минск,2,2
12.04.1997,Трансмаш Могилев,МПКЦ Мозырь,0,0
16.04.1997,Молодечно,Динамо-93 Минск,1,1
16.04.1997,Атака Минск,Коммунальник Слоним,2,0
16.04.1997,Неман Гродно,Торпедо-Кадино Могилев,0,1
16.04.1997,Днепр Могилёв,Белшина Бобруйск,3,0
16.04.1997,Нафтан-Девон Новополоцк,Локомотив-96 Витебск,0,1
16.04.1997,Динамо Брест,Динамо Минск,2,1
17.04.1997,Торпедо Минск,Трансмаш Могилев,2,0
17.04.1997,Шахтер Солигорск,МПКЦ Мозырь,0,4
20.04.1997,Динамо-93 Минск,Днепр Могилёв,3,0
20.04.1997,Коммунальник Слоним,Торпедо-Кадино Могилев,1,1
20.04.1997,Локомотив-96 Витебск,Молодечно,1,0
20.04.1997,Белшина Бобруйск,Динамо Брест,3,1
21.04.1997,Трансмаш Могилев,Неман Гродно,0,3
21.04.1997,Атака Минск,Нафтан-Девон Новополоцк,1,1
21.04.1997,МПКЦ Мозырь,Торпедо Минск,6,1
21.04.1997,Динамо Минск,Шахтер Солигорск,3,0
24.04.1997,Динамо Брест,Динамо-93 Минск,0,2
24.04.1997,Днепр Могилёв,Локомотив-96 Витебск,0,0
25.04.1997,Неман Гродно,МПКЦ Мозырь,1,1
25.04.1997,Шахтер Солигорск,Белшина Бобруйск,1,4
25.04.1997,Нафтан-Девон Новополоцк,Коммунальник Слоним,1,0
25.04.1997,Торпедо-Кадино Могилев,Трансмаш Могилев,0,1
25.04.1997,Торпедо Минск,Динамо Минск,1,3
25.04.1997,Молодечно,Атака Минск,0,1
03.05.1997,Локомотив-96 Витебск,Торпедо Минск,2,1
03.05.1997,Атака Минск,Шахтер Солигорск,0,0
04.05.1997,Нафтан-Девон Новополоцк,Динамо Брест,2,1
04.05.1997,Динамо Минск,Трансмаш Могилев,3,1
04.05.1997,Молодечно,Днепр Могилёв,1,4
04.05.1997,Белшина Бобруйск,Торпедо-Кадино Могилев,5,1
04.05.1997,МПКЦ Мозырь,Коммунальник Слоним,3,0
29.07.1997,Неман Гродно,Динамо-93 Минск,1,3
12.05.1997,Торпедо-Кадино Могилев,Динамо Брест,0,1
12.05.1997,Динамо-93 Минск,Локомотив-96 Витебск,1,2
12.05.1997,Коммунальник Слоним,Торпедо Минск,1,2
12.05.1997,Динамо Минск,Нафтан-Девон Новополоцк,1,1
12.05.1997,Трансмаш Могилев,Днепр Могилёв,0,2
12.05.1997,Неман Гродно,Шахтер Солигорск,2,0
12.05.1997,Белшина Бобруйск,Атака Минск,3,0
12.05.1997,МПКЦ Мозырь,Молодечно,1,1
19.05.1997,Торпедо Минск,Неман Гродно,0,2
20.05.1997,Молодечно,Динамо Минск,1,1
20.05.1997,Атака Минск,Динамо-93 Минск,0,1
20.05.1997,Шахтер Солигорск,Торпедо-Кадино Могилев,0,1
20.05.1997,Днепр Могилёв,МПКЦ Мозырь,1,2
20.05.1997,Нафтан-Девон Новополоцк,Белшина Бобруйск,1,2
20.05.1997,Локомотив-96 Витебск,Коммунальник Слоним,0,0
20.05.1997,Динамо Брест,Трансмаш Могилев,2,2
29.05.1997,Динамо-93 Минск,Динамо Минск,0,0
29.05.1997,Динамо Брест,Шахтер Солигорск,3,2
29.05.1997,Молодечно,Неман Гродно,1,1
29.05.1997,Локомотив-96 Витебск,МПКЦ Мозырь,1,1
29.05.1997,Белшина Бобруйск,Коммунальник Слоним,4,1
29.05.1997,Днепр Могилёв,Торпедо Минск,1,1
