date,team1,team2,score1,score2
18.04.1992,Днепр Могилёв,Трактор Бобруйѝк,0,1
18.04.1992,Шахтер Солигорѝк,СКБ-Локомотив Витебѝк,4,0
18.04.1992,Динамо Бреѝт,Торпедо Могилев,1,1
18.04.1992,Торпедо Минѝк,Строитель Старые Дороги,3,1
18.04.1992,Химик Гродно,Обувщик Лида,1,0
18.04.1992,БелНЗ Жодино,КИМ Витебѝк,1,3
18.04.1992,Ведрич Речица,Гомѝельмаш,1,1
18.04.1992,Динамо Минѝк,Металлург Молодечно,0,0
25.04.1992,КИМ Витебѝк,Динамо Бреѝт,1,0
25.04.1992,Динамо Минѝк,Шахтер Солигорѝк,2,1
25.04.1992,Металлург Молодечно,Гомѝельмаш,1,1
25.04.1992,СКБ-Локомотив Витебѝк,Днепр Могилёв,0,3
25.04.1992,Строитель Старые Дороги,БелНЗ Жодино,2,1
25.04.1992,Торпедо Могилев,Ведрич Речица,1,1
25.04.1992,Трактор Бобруйѝк,Химик Гродно,1,0
25.04.1992,Обувщик Лида,Торпедо Минѝк,0,0
29.04.1992,БелНЗ Жодино,Обувщик Лида,1,0
29.04.1992,Химик Гродно,СКБ-Локомотив Витебѝк,4,1
29.04.1992,Гомѝельмаш,Торпедо Могилев,0,0
29.04.1992,Шахтер Солигорѝк,Металлург Молодечно,0,3
29.04.1992,Динамо Бреѝт,Строитель Старые Дороги,3,0
29.04.1992,Торпедо Минѝк,Трактор Бобруйѝк,0,0
29.04.1992,Днепр Могилёв,Динамо Минѝк,0,1
29.04.1992,Ведрич Речица,КИМ Витебѝк,3,1
02.05.1992,Строитель Старые Дороги,Ведрич Речица,2,0
02.05.1992,Обувщик Лида,Динамо Бреѝт,0,2
02.05.1992,СКБ-Локомотив Витебѝк,Торпедо Минѝк,2,1
02.05.1992,КИМ Витебѝк,Гомѝельмаш,5,0
02.05.1992,Динамо Минѝк,Химик Гродно,6,0
02.05.1992,Трактор Бобруйѝк,БелНЗ Жодино,1,0
02.05.1992,Шахтер Солигорѝк,Днепр Могилёв,0,2
02.05.1992,Металлург Молодечно,Торпедо Могилев,2,3
06.05.1992,Днепр Могилёв,Металлург Молодечно,3,0
06.05.1992,Химик Гродно,Шахтер Солигорѝк,3,0
06.05.1992,Ведрич Речица,Обувщик Лида,1,0
06.05.1992,Гомѝельмаш,Строитель Старые Дороги,1,0
06.05.1992,Динамо Бреѝт,Трактор Бобруйѝк,2,0
06.05.1992,БелНЗ Жодино,СКБ-Локомотив Витебѝк,2,1
06.05.1992,Торпедо Могилев,КИМ Витебѝк,0,0
06.05.1992,Торпедо Минѝк,Динамо Минѝк,0,3
09.05.1992,Обувщик Лида,Гомѝельмаш,4,1
09.05.1992,Шахтер Солигорѝк,Торпедо Минѝк,0,1
09.05.1992,СКБ-Локомотив Витебѝк,Динамо Бреѝт,1,4
09.05.1992,Днепр Могилёв,Химик Гродно,2,0
09.05.1992,Строитель Старые Дороги,Торпедо Могилев,2,2
09.05.1992,Трактор Бобруйѝк,Ведрич Речица,2,1
