date,team1,team2,score1,score2
31.07.2011,Динамо Брест,Динамо Минск,2,0
31.07.2011,Минск,Неман Гродно,3,1
04.09.2011,Белшина Бобруйск,Гомель,1,0
05.08.2011,Динамо Минск,Торпедо-БелАЗ,0,1
05.08.2011,Днепр Могилев,Шахтер Солигорск,0,1
06.08.2011,Неман Гродно,Динамо Брест,2,3
06.08.2011,Нафтан Новополоцк,Витебск,1,1
07.08.2011,БАТЭ Борисов,Белшина Бобруйск,1,0
08.08.2011,Гомель,Минск,2,1
12.08.2011,Минск,БАТЭ Борисов,1,0
14.08.2011,Гомель,Неман Гродно,1,0
14.08.2011,Торпедо-БелАЗ,Динамо Брест,1,1
14.08.2011,Белшина Бобруйск,Нафтан Новополоцк,0,0
14.08.2011,Витебск,Днепр Могилев,0,2
15.08.2011,Шахтер Солигорск,Динамо Минск,1,3
20.08.2011,Днепр Могилев,Белшина Бобруйск,2,2
20.08.2011,Неман Гродно,Торпедо-БелАЗ,2,2
20.08.2011,Нафтан Новополоцк,Минск,0,0
20.08.2011,Динамо Минск,Витебск,2,2
20.08.2011,БАТЭ Борисов,Гомель,1,1
21.08.2011,Динамо Брест,Шахтер Солигорск,4,0
28.08.2011,Гомель,Нафтан Новополоцк,1,0
28.08.2011,Витебск,Динамо Брест,3,0
28.08.2011,Минск,Шахтер Солигорск,1,1
28.08.2011,Белшина Бобруйск,Торпедо-БелАЗ,1,1
28.08.2011,Неман Гродно,Днепр Могилев,1,1
28.08.2011,БАТЭ Борисов,Динамо Минск,2,2
09.09.2011,Шахтер Солигорск,БАТЭ Борисов,0,0
11.09.2011,Белшина Бобруйск,Гомель,0,0
11.09.2011,Динамо Минск,Витебск,2,0
11.09.2011,Торпедо-БелАЗ,Днепр Могилев,1,1
11.09.2011,Нафтан Новополоцк,Минск,1,3
11.09.2011,Динамо Брест,Неман Гродно,3,0
17.09.2011,Днепр Могилев,Динамо Брест,0,2
17.09.2011,Витебск,Шахтер Солигорск,1,1
17.09.2011,Гомель,Торпедо-БелАЗ,1,0
17.09.2011,Неман Гродно,Динамо Минск,1,2
17.09.2011,Минск,Белшина Бобруйск,0,1
18.09.2011,БАТЭ Борисов,Нафтан Новополоцк,2,0
23.09.2011,Белшина Бобруйск,БАТЭ Борисов,1,1
25.09.2011,Шахтер Солигорск,Неман Гродно,0,0
25.09.2011,Торпедо-БелАЗ,Динамо Брест,1,2
25.09.2011,Нафтан Новополоцк,Витебск,1,1
25.09.2011,Динамо Минск,Днепр Могилев,4,1
25.09.2011,Гомель,Минск,1,0
01.10.2011,Динамо Брест,Динамо Минск,1,1
01.10.2011,Неман Гродно,Нафтан Новополоцк,1,0
01.10.2011,Минск,Торпедо-БелАЗ,0,0
01.10.2011,Днепр Могилев,Шахтер Солигорск,0,4
01.10.2011,Витебск,Белшина Бобруйск,0,3
02.10.2011,БАТЭ Борисов,Гомель,0,0
15.10.2011,Минск,БАТЭ Борисов,0,2
16.10.2011,Нафтан Новополоцк,Днепр Могилев,1,0
16.10.2011,Торпедо-БелАЗ,Динамо Минск,1,1
16.10.2011,Белшина Бобруйск,Неман Гродно,2,3
16.10.2011,Шахтер Солигорск,Динамо Брест,1,0
16.10.2011,Гомель,Витебск,2,0
23.10.2011,Неман Гродно,Гомель,2,2
23.10.2011,БАТЭ Борисов,Торпедо-БелАЗ,4,2
23.10.2011,Динамо Минск,Шахтер Солигорск,3,2
23.10.2011,Днепр Могилев,Белшина Бобруйск,0,0
23.10.2011,Витебск,Минск,1,0
23.10.2011,Динамо Брест,Нафтан Новополоцк,0,1
27.10.2011,БАТЭ Борисов,Витебск,2,2
30.10.2011,Торпедо-БелАЗ,Шахтер Солигорск,1,3
30.10.2011,Гомель,Днепр Могилев,1,1
30.10.2011,Нафтан Новополоцк,Динамо Минск,1,3
30.10.2011,Минск,Неман Гродно,0,0
30.10.2011,Белшина Бобруйск,Динамо Брест,1,0
05.11.2011,Витебск,Торпедо-БелАЗ,0,2
05.11.2011,Динамо Минск,Белшина Бобруйск,0,3
05.11.2011,Днепр Могилев,Минск,1,0
05.11.2011,Шахтер Солигорск,Нафтан Новополоцк,1,0
05.11.2011,Динамо Брест,Гомель,0,2
06.11.2011,Неман Гродно,БАТЭ Борисов,0,1
19.11.2011,БАТЭ Борисов,Днепр Могилев,1,2
19.11.2011,Гомель,Динамо Минск,2,1
19.11.2011,Торпедо-БелАЗ,Нафтан Новополоцк,3,1
19.11.2011,Витебск,Неман Гродно,2,3
19.11.2011,Минск,Динамо Брест,1,1
19.11.2011,Белшина Бобруйск,Шахтер Солигорск,0,2
27.11.2011,Неман Гродно,Торпедо-БелАЗ,0,0
27.11.2011,Нафтан Новополоцк,Белшина Бобруйск,1,2
27.11.2011,Динамо Минск,Минск,3,4
27.11.2011,Днепр Могилев,Витебск,1,0
27.11.2011,Шахтер Солигорск,Гомель,4,0
27.11.2011,Динамо Брест,БАТЭ Борисов,1,1
