date,team1,team2,score1,score2
18.04.2006,Белшина Бобруйск,Днепр Могилев,1,2
18.04.2006,Локомотив Минск,МТЗ-РИПО Минск,0,4
18.04.2006,Локомотив Витебск,Неман Гродно,0,0
19.04.2006,Динамо Брест,Дарида,0,0
19.04.2006,Нафтан Новополоцк,Шахтер Солигорск,0,2
19.04.2006,БАТЭ Борисов,Динамо Минск,2,2
19.04.2006,Гомель,Торпедо Жодино,3,0
24.04.2006,МТЗ-РИПО Минск,Локомотив Витебск,0,0
25.04.2006,Неман Гродно,Динамо Брест,0,0
25.04.2006,Динамо Минск,Шахтер Солигорск,0,2
25.04.2006,Нафтан Новополоцк,Белшина Бобруйск,2,1
25.04.2006,Торпедо Жодино,Локомотив Минск,1,0
25.04.2006,Дарида,БАТЭ Борисов,3,1
25.04.2006,Днепр Могилев,Гомель,0,2
30.04.2006,Гомель,Нафтан Новополоцк,1,3
30.04.2006,Динамо Минск,Дарида,1,2
30.04.2006,Динамо Брест,МТЗ-РИПО Минск,0,2
30.04.2006,Локомотив Минск,Днепр Могилев,1,3
30.04.2006,Белшина Бобруйск,Шахтер Солигорск,1,3
30.04.2006,БАТЭ Борисов,Неман Гродно,2,0
30.04.2006,Локомотив Витебск,Торпедо Жодино,2,2
05.05.2006,Днепр Могилев,Локомотив Витебск,0,2
05.05.2006,МТЗ-РИПО Минск,БАТЭ Борисов,0,0
05.05.2006,Шахтер Солигорск,Дарида,1,3
05.05.2006,Нафтан Новополоцк,Локомотив Минск,0,3
05.05.2006,Торпедо Жодино,Динамо Брест,1,1
05.05.2006,Неман Гродно,Динамо Минск,0,1
05.05.2006,Белшина Бобруйск,Гомель,1,3
09.05.2006,Динамо Минск,МТЗ-РИПО Минск,1,3
09.05.2006,Динамо Брест,Днепр Могилев,1,0
09.05.2006,Гомель,Шахтер Солигорск,2,0
09.05.2006,Дарида,Неман Гродно,2,1
09.05.2006,БАТЭ Борисов,Торпедо Жодино,1,0
09.05.2006,Локомотив Витебск,Нафтан Новополоцк,1,2
10.05.2006,Локомотив Минск,Белшина Бобруйск,1,0
22.05.2006,Шахтер Солигорск,Неман Гродно,5,3
22.05.2006,МТЗ-РИПО Минск,Дарида,1,0
22.05.2006,Днепр Могилев,БАТЭ Борисов,0,3
22.05.2006,Белшина Бобруйск,Локомотив Витебск,0,1
22.05.2006,Гомель,Локомотив Минск,2,0
23.05.2006,Торпедо Жодино,Динамо Минск,0,1
23.05.2006,Нафтан Новополоцк,Динамо Брест,3,0
28.05.2006,Локомотив Витебск,Гомель,0,1
28.05.2006,МТЗ-РИПО Минск,Неман Гродно,0,2
28.05.2006,Динамо Минск,Днепр Могилев,0,0
31.05.2006,Локомотив Минск,Шахтер Солигорск,0,1
31.05.2006,БАТЭ Борисов,Нафтан Новополоцк,2,1
31.05.2006,Динамо Брест,Белшина Бобруйск,0,1
31.05.2006,Дарида,Торпедо Жодино,0,0
06.06.2006,Локомотив Минск,Локомотив Витебск,0,0
06.06.2006,Днепр Могилев,Дарида,1,2
06.06.2006,Нафтан Новополоцк,Динамо Минск,0,2
06.06.2006,Шахтер Солигорск,МТЗ-РИПО Минск,2,0
06.06.2006,Белшина Бобруйск,БАТЭ Борисов,1,2
06.06.2006,Торпедо Жодино,Неман Гродно,2,1
06.06.2006,Гомель,Динамо Брест,0,0
10.06.2006,Динамо Брест,Локомотив Минск,2,1
10.06.2006,Неман Гродно,Днепр Могилев,2,1
10.06.2006,БАТЭ Борисов,Гомель,1,1
10.06.2006,Локомотив Витебск,Шахтер Солигорск,0,0
10.06.2006,МТЗ-РИПО Минск,Торпедо Жодино,0,1
10.06.2006,Динамо Минск,Белшина Бобруйск,2,0
11.06.2006,Дарида,Нафтан Новополоцк,2,1
14.06.2006,Днепр Могилев,МТЗ-РИПО Минск,5,3
14.06.2006,Шахтер Солигорск,Торпедо Жодино,1,1
15.06.2006,Локомотив Витебск,Динамо Брест,1,0
15.06.2006,Гомель,Динамо Минск,0,3
15.06.2006,Нафтан Новополоцк,Неман Гродно,2,0
15.06.2006,Локомотив Минск,БАТЭ Борисов,1,3
15.06.2006,Белшина Бобруйск,Дарида,0,0
21.06.2006,Динамо Брест,Шахтер Солигорск,3,1
21.06.2006,Неман Гродно,Белшина Бобруйск,1,1
21.06.2006,МТЗ-РИПО Минск,Нафтан Новополоцк,2,1
21.06.2006,БАТЭ Борисов,Локомотив Витебск,2,2
21.06.2006,Дарида,Гомель,1,0
21.06.2006,Торпедо Жодино,Днепр Могилев,1,2
09.07.2006,Динамо Минск,Локомотив Минск,4,2
27.06.2006,Белшина Бобруйск,МТЗ-РИПО Минск,1,4
27.06.2006,Локомотив Минск,Дарида,0,2
27.06.2006,Гомель,Неман Гродно,0,0
27.06.2006,Нафтан Новополоцк,Торпедо Жодино,1,1
27.06.2006,Шахтер Солигорск,Днепр Могилев,4,1
27.06.2006,Локомотив Витебск,Динамо Минск,0,2
27.06.2006,Динамо Брест,БАТЭ Борисов,0,2
04.07.2006,Дарида,Локомотив Витебск,0,0
04.07.2006,БАТЭ Борисов,Шахтер Солигорск,2,1
04.07.2006,Динамо Минск,Динамо Брест,1,1
05.07.2006,МТЗ-РИПО Минск,Гомель,0,2
05.07.2006,Локомотив Минск,Неман Гродно,1,3
05.07.2006,Днепр Могилев,Нафтан Новополоцк,2,1
05.07.2006,Торпедо Жодино,Белшина Бобруйск,1,1
21.07.2006,Динамо Минск,БАТЭ Борисов,4,2
23.07.2006,Неман Гродно,Локомотив Витебск,0,2
23.07.2006,Торпедо Жодино,Гомель,2,0
23.07.2006,Шахтер Солигорск,Нафтан Новополоцк,5,2
23.07.2006,Дарида,Динамо Брест,1,2
23.07.2006,МТЗ-РИПО Минск,Локомотив Минск,7,1
23.07.2006,Днепр Могилев,Белшина Бобруйск,3,3
30.07.2006,Локомотив Витебск,МТЗ-РИПО Минск,1,0
30.07.2006,Белшина Бобруйск,Нафтан Новополоцк,0,4
31.07.2006,БАТЭ Борисов,Дарида,1,0
31.07.2006,Гомель,Днепр Могилев,1,1
31.07.2006,Динамо Брест,Неман Гродно,1,0
31.07.2006,Шахтер Солигорск,Динамо Минск,0,2
31.07.2006,Локомотив Минск,Торпедо Жодино,1,0
05.08.2006,Нафтан Новополоцк,Гомель,2,3
05.08.2006,Дарида,Динамо Минск,0,0
05.08.2006,МТЗ-РИПО Минск,Динамо Брест,3,0
05.08.2006,Днепр Могилев,Локомотив Минск,2,1
05.08.2006,Шахтер Солигорск,Белшина Бобруйск,3,1
05.08.2006,Неман Гродно,БАТЭ Борисов,1,2
05.08.2006,Торпедо Жодино,Локомотив Витебск,0,2
20.08.2006,Гомель,Белшина Бобруйск,2,1
20.08.2006,БАТЭ Борисов,МТЗ-РИПО Минск,1,3
20.08.2006,Дарида,Шахтер Солигорск,0,2
20.08.2006,Динамо Брест,Торпедо Жодино,2,0
20.08.2006,Динамо Минск,Неман Гродно,0,2
21.08.2006,Локомотив Минск,Нафтан Новополоцк,3,3
21.08.2006,Локомотив Витебск,Днепр Могилев,0,0
28.08.2006,Нафтан Новополоцк,Локомотив Витебск,0,0
28.08.2006,МТЗ-РИПО Минск,Динамо Минск,0,0
28.08.2006,Днепр Могилев,Динамо Брест,0,1
28.08.2006,Торпедо Жодино,БАТЭ Борисов,1,1
28.08.2006,Шахтер Солигорск,Гомель,3,0
28.08.2006,Неман Гродно,Дарида,1,0
29.08.2006,Белшина Бобруйск,Локомотив Минск,0,0
10.09.2006,БАТЭ Борисов,Днепр Могилев,3,0
10.09.2006,Неман Гродно,Шахтер Солигорск,0,1
10.09.2006,Локомотив Минск,Гомель,0,1
10.09.2006,Динамо Брест,Нафтан Новополоцк,0,4
10.09.2006,Дарида,МТЗ-РИПО Минск,0,1
10.09.2006,Локомотив Витебск,Белшина Бобруйск,1,0
11.09.2006,Динамо Минск,Торпедо Жодино,2,0
16.09.2006,Шахтер Солигорск,Локомотив Минск,3,3
16.09.2006,Торпедо Жодино,Дарида,1,1
16.09.2006,Нафтан Новополоцк,БАТЭ Борисов,0,2
16.09.2006,Гомель,Локомотив Витебск,2,0
16.09.2006,Неман Гродно,МТЗ-РИПО Минск,0,3
16.09.2006,Днепр Могилев,Динамо Минск,0,2
16.09.2006,Белшина Бобруйск,Динамо Брест,0,1
24.09.2006,БАТЭ Борисов,Белшина Бобруйск,1,0
24.09.2006,Неман Гродно,Торпедо Жодино,2,0
24.09.2006,Динамо Брест,Гомель,0,3
24.09.2006,Динамо Минск,Нафтан Новополоцк,2,2
24.09.2006,МТЗ-РИПО Минск,Шахтер Солигорск,3,1
24.09.2006,Локомотив Витебск,Локомотив Минск,2,0
25.09.2006,Дарида,Днепр Могилев,3,2
30.09.2006,Локомотив Минск,Динамо Брест,3,2
