date,team1,team2,score1,score2
29.03.2014,Нафтан Новополоцк,Торпедо-БелАЗ,2,0
29.03.2014,Шахтер Солигорск,БАТЭ Борисов,2,0
29.03.2014,Минск,Динамо Брест,2,0
30.03.2014,Гомель,Белшина Бобруйск,3,1
30.03.2014,Днепр Могилев,Динамо Минск,0,1
30.03.2014,Неман Гродно,Слуцк,0,1
05.04.2014,БАТЭ Борисов,Минск,1,0
05.04.2014,Нафтан Новополоцк,Днепр Могилев,0,0
05.04.2014,Слуцк,Шахтер Солигорск,0,1
06.04.2014,Динамо Минск,Неман Гродно,1,0
06.04.2014,Торпедо-БелАЗ,Белшина Бобруйск,1,1
06.04.2014,Динамо Брест,Гомель,2,0
11.04.2014,Минск,Слуцк,1,0
11.04.2014,Неман Гродно,Нафтан Новополоцк,0,2
11.04.2014,Шахтер Солигорск,Динамо Минск,0,0
11.04.2014,Днепр Могилев,Торпедо-БелАЗ,2,2
12.04.2014,Белшина Бобруйск,Динамо Брест,7,0
13.04.2014,Гомель,БАТЭ Борисов,0,3
18.04.2014,Торпедо-БелАЗ,Динамо Брест,2,0
19.04.2014,Гомель,Слуцк,1,0
19.04.2014,Днепр Могилев,Неман Гродно,2,3
19.04.2014,Динамо Минск,Минск,2,0
19.04.2014,БАТЭ Борисов,Белшина Бобруйск,5,2
19.04.2014,Нафтан Новополоцк,Шахтер Солигорск,1,1
26.04.2014,Шахтер Солигорск,Днепр Могилев,0,0
26.04.2014,Неман Гродно,Торпедо-БелАЗ,0,0
26.04.2014,Гомель,Динамо Минск,0,2
27.04.2014,Белшина Бобруйск,Слуцк,1,2
27.04.2014,Минск,Нафтан Новополоцк,0,1
27.04.2014,Динамо Брест,БАТЭ Борисов,0,4
04.05.2014,Динамо Минск,Белшина Бобруйск,4,1
04.05.2014,Торпедо-БелАЗ,БАТЭ Борисов,1,4
04.05.2014,Нафтан Новополоцк,Гомель,1,0
04.05.2014,Слуцк,Динамо Брест,1,0
