date,team1,team2,score1,score2
04.04.2009,Неман Гродно,Гомель,1,0
04.04.2009,Шахтер Солигорск,Нафтан Новополоцк,1,1
04.04.2009,Витебск,Торпедо Жодино,0,1
04.04.2009,Гранит Микашевичи,МТЗ-РИПО Минск,1,2
05.04.2009,Динамо Минск,Минск,2,1
05.04.2009,БАТЭ Борисов,Днепр Могилев,1,0
05.04.2009,Сморгонь,Динамо Брест,0,1
12.04.2009,Сморгонь,Динамо Минск,0,0
12.04.2009,Гранит Микашевичи,Торпедо Жодино,1,3
12.04.2009,Гомель,Витебск,1,1
13.04.2009,Динамо Брест,Шахтер Солигорск,1,1
13.04.2009,МТЗ-РИПО Минск,Нафтан Новополоцк,4,0
13.04.2009,Неман Гродно,Днепр Могилев,0,1
13.04.2009,Минск,БАТЭ Борисов,0,1
18.04.2009,БАТЭ Борисов,Сморгонь,2,0
18.04.2009,Шахтер Солигорск,МТЗ-РИПО Минск,1,0
18.04.2009,Гранит Микашевичи,Гомель,0,2
18.04.2009,Неман Гродно,Минск,2,1
18.04.2009,Динамо Минск,Динамо Брест,2,0
18.04.2009,Нафтан Новополоцк,Торпедо Жодино,1,0
18.04.2009,Витебск,Днепр Могилев,0,1
26.04.2009,Сморгонь,Неман Гродно,0,2
26.04.2009,Гомель,Нафтан Новополоцк,1,3
26.04.2009,Динамо Брест,МТЗ-РИПО Минск,1,0
26.04.2009,Динамо Минск,БАТЭ Борисов,1,3
26.04.2009,Минск,Витебск,0,1
26.04.2009,Шахтер Солигорск,Торпедо Жодино,0,1
26.04.2009,Днепр Могилев,Гранит Микашевичи,1,2
02.05.2009,Нафтан Новополоцк,Днепр Могилев,2,1
02.05.2009,Витебск,Сморгонь,2,1
02.05.2009,БАТЭ Борисов,Динамо Брест,1,0
02.05.2009,Шахтер Солигорск,Гомель,1,1
02.05.2009,Гранит Микашевичи,Минск,1,4
02.05.2009,Неман Гродно,Динамо Минск,0,0
02.05.2009,МТЗ-РИПО Минск,Торпедо Жодино,0,0
