date,team1,team2,score1,score2
12.04.1998,Гомель,Неман Гродно,2,0
12.04.1998,Динамо Брест,Днепр-Трансмаш,2,0
12.04.1998,Торпедо-Кадино Могилев,Коммунальник Слоним,3,0
12.04.1998,Славия Мозырь,Белшина Бобруйск,1,0
12.04.1998,Шахтер Солигорск,Локомотив-96 Витебск,1,1
12.04.1998,Молодечно,БАТЭ Борисов,1,2
12.04.1998,Динамо-93 Минск,Динамо Минск,5,1
13.04.1998,Торпедо Минск,Нафтан-Девон Новополоцк,2,0
18.04.1998,Молодечно,Динамо Брест,0,2
18.04.1998,Славия Мозырь,Гомель,1,1
18.04.1998,Белшина Бобруйск,Локомотив-96 Витебск,1,0
18.04.1998,Динамо Минск,Торпедо Минск,0,0
18.04.1998,Коммунальник Слоним,БАТЭ Борисов,1,3
18.04.1998,Днепр-Трансмаш,Шахтер Солигорск,4,0
18.04.1998,Неман Гродно,Динамо-93 Минск,0,0
18.04.1998,Нафтан-Девон Новополоцк,Торпедо-Кадино Могилев,3,1
25.04.1998,БАТЭ Борисов,Нафтан-Девон Новополоцк,2,1
25.04.1998,Торпедо Минск,Неман Гродно,3,1
25.04.1998,Локомотив-96 Витебск,Днепр-Трансмаш,0,1
25.04.1998,Гомель,Белшина Бобруйск,1,0
25.04.1998,Динамо Брест,Коммунальник Слоним,0,0
25.04.1998,Торпедо-Кадино Могилев,Динамо Минск,1,0
25.04.1998,Динамо-93 Минск,Славия Мозырь,4,0
25.04.1998,Шахтер Солигорск,Молодечно,1,0
04.05.1998,Молодечно,Локомотив-96 Витебск,1,2
04.05.1998,Славия Мозырь,Торпедо Минск,0,2
04.05.1998,Динамо Минск,БАТЭ Борисов,2,0
04.05.1998,Коммунальник Слоним,Шахтер Солигорск,0,0
04.05.1998,Гомель,Динамо-93 Минск,1,2
04.05.1998,Белшина Бобруйск,Днепр-Трансмаш,1,1
04.05.1998,Неман Гродно,Торпедо-Кадино Могилев,1,3
04.05.1998,Нафтан-Девон Новополоцк,Динамо Брест,1,3
09.05.1998,Динамо-93 Минск,Белшина Бобруйск,0,0
09.05.1998,Локомотив-96 Витебск,Коммунальник Слоним,2,0
09.05.1998,Динамо Брест,Динамо Минск,0,1
09.05.1998,Торпедо-Кадино Могилев,Славия Мозырь,0,3
09.05.1998,Днепр-Трансмаш,Молодечно,5,0
09.05.1998,Шахтер Солигорск,Нафтан-Девон Новополоцк,2,0
09.05.1998,БАТЭ Борисов,Неман Гродно,3,0
10.05.1998,Торпедо Минск,Гомель,3,1
18.05.1998,Нафтан-Девон Новополоцк,Локомотив-96 Витебск,1,1
18.05.1998,Динамо-93 Минск,Торпедо Минск,0,0
18.05.1998,Белшина Бобруйск,Молодечно,1,0
18.05.1998,Славия Мозырь,БАТЭ Борисов,2,2
18.05.1998,Динамо Минск,Шахтер Солигорск,1,2
18.05.1998,Коммунальник Слоним,Днепр-Трансмаш,0,5
