date,team1,team2,score1,score2
15.04.2004,Локомотив Витебск,Торпедо-СКА Минск,0,1
15.04.2004,Шахтер Солигорск,Неман Гродно,0,0
15.04.2004,БАТЭ Борисов,Нафтан Новополоцк,1,1
15.04.2004,Славия Мозырь,Дарида Ждановичи,3,1
15.04.2004,Торпедо Жодино,МТЗ-РИПО Минск,3,0
15.04.2004,Звезда-ВА-БГУ Минск,Гомель,3,3
15.04.2004,Белшина Бобруйск,Динамо Минск,1,3
15.04.2004,Днепр-Трансмаш,Динамо Брест,0,0
19.04.2004,Торпедо-СКА Минск,Белшина Бобруйск,3,0
19.04.2004,МТЗ-РИПО Минск,Звезда-ВА-БГУ Минск,0,0
19.04.2004,Динамо Брест,Славия Мозырь,0,1
19.04.2004,Гомель,Шахтер Солигорск,1,0
19.04.2004,Нафтан Новополоцк,Локомотив Витебск,0,3
19.04.2004,Динамо Минск,Дарида Ждановичи,2,2
19.04.2004,Днепр-Трансмаш,Торпедо Жодино,1,0
19.04.2004,Неман Гродно,БАТЭ Борисов,1,1
23.04.2004,Дарида Ждановичи,Торпедо-СКА Минск,0,1
23.04.2004,Шахтер Солигорск,МТЗ-РИПО Минск,3,3
23.04.2004,Звезда-ВА-БГУ Минск,Днепр-Трансмаш,2,0
23.04.2004,БАТЭ Борисов,Гомель,3,1
23.04.2004,Белшина Бобруйск,Нафтан Новополоцк,0,0
23.04.2004,Неман Гродно,Локомотив Витебск,1,1
23.04.2004,Торпедо Жодино,Динамо Брест,2,1
23.04.2004,Славия Мозырь,Динамо Минск,1,3
02.05.2004,Торпедо-СКА Минск,Славия Мозырь,1,0
02.05.2004,Днепр-Трансмаш,Шахтер Солигорск,1,1
02.05.2004,Гомель,Локомотив Витебск,2,0
02.05.2004,Нафтан Новополоцк,Дарида Ждановичи,1,2
02.05.2004,Торпедо Жодино,Звезда-ВА-БГУ Минск,5,2
02.05.2004,Динамо Брест,Динамо Минск,0,3
02.05.2004,МТЗ-РИПО Минск,БАТЭ Борисов,0,3
02.05.2004,Неман Гродно,Белшина Бобруйск,1,1
06.05.2004,Динамо Минск,Торпедо-СКА Минск,0,1
06.05.2004,Белшина Бобруйск,Гомель,1,4
06.05.2004,Локомотив Витебск,МТЗ-РИПО Минск,2,2
06.05.2004,Шахтер Солигорск,Торпедо Жодино,2,1
06.05.2004,Славия Мозырь,Нафтан Новополоцк,2,0
06.05.2004,Дарида Ждановичи,Неман Гродно,1,0
06.05.2004,БАТЭ Борисов,Днепр-Трансмаш,1,0
06.05.2004,Звезда-ВА-БГУ Минск,Динамо Брест,1,1
10.05.2004,Неман Гродно,Славия Мозырь,1,0
10.05.2004,Динамо Брест,Торпедо-СКА Минск,3,1
10.05.2004,Днепр-Трансмаш,Локомотив Витебск,1,0
10.05.2004,Гомель,Дарида Ждановичи,1,1
10.05.2004,Нафтан Новополоцк,Динамо Минск,1,3
10.05.2004,Торпедо Жодино,БАТЭ Борисов,0,2
10.05.2004,МТЗ-РИПО Минск,Белшина Бобруйск,2,1
11.05.2004,Звезда-ВА-БГУ Минск,Шахтер Солигорск,0,0
19.05.2004,Динамо Минск,Неман Гродно,1,0
19.05.2004,БАТЭ Борисов,Звезда-ВА-БГУ Минск,2,3
20.05.2004,Белшина Бобруйск,Днепр-Трансмаш,0,1
20.05.2004,Шахтер Солигорск,Динамо Брест,5,2
20.05.2004,Торпедо-СКА Минск,Нафтан Новополоцк,2,1
20.05.2004,Славия Мозырь,Гомель,1,0
20.05.2004,Локомотив Витебск,Торпедо Жодино,0,0
20.05.2004,Дарида Ждановичи,МТЗ-РИПО Минск,2,0
06.06.2004,Днепр-Трансмаш,Дарида Ждановичи,0,1
06.06.2004,Торпедо Жодино,Белшина Бобруйск,3,0
06.06.2004,МТЗ-РИПО Минск,Славия Мозырь,1,4
07.06.2004,Шахтер Солигорск,БАТЭ Борисов,5,1
07.06.2004,Неман Гродно,Торпедо-СКА Минск,2,2
07.06.2004,Звезда-ВА-БГУ Минск,Локомотив Витебск,1,4
07.06.2004,Гомель,Динамо Минск,2,0
07.06.2004,Динамо Брест,Нафтан Новополоцк,3,0
11.06.2004,Дарида Ждановичи,Торпедо Жодино,1,2
12.06.2004,Динамо Минск,МТЗ-РИПО Минск,1,0
12.06.2004,Локомотив Витебск,Шахтер Солигорск,0,3
12.06.2004,Торпедо-СКА Минск,Гомель,2,4
12.06.2004,Славия Мозырь,Днепр-Трансмаш,2,0
12.06.2004,Белшина Бобруйск,Звезда-ВА-БГУ Минск,4,1
12.06.2004,БАТЭ Борисов,Динамо Брест,2,1
12.06.2004,Нафтан Новополоцк,Неман Гродно,3,1
16.06.2004,МТЗ-РИПО Минск,Торпедо-СКА Минск,0,3
16.06.2004,Динамо Брест,Неман Гродно,2,0
16.06.2004,Шахтер Солигорск,Белшина Бобруйск,2,0
16.06.2004,Днепр-Трансмаш,Динамо Минск,0,1
16.06.2004,Гомель,Нафтан Новополоцк,2,2
