date,team1,team2,score1,score2
06.04.2008,Гранит-Микашевичи,Гомель,1,1
06.04.2008,Савит Могилев,Витебск,1,2
06.04.2008,Шахтер Солигорск,Торпедо Жодино,1,0
06.04.2008,Сморгонь,Неман Гродно,2,2
06.04.2008,Локомотив Минск,Динамо Минск,2,2
06.04.2008,БАТЭ Борисов,Дарида,1,0
06.04.2008,Нафтан Новополоцк,Днепр Могилев,2,0
06.04.2008,МТЗ-РИПО Минск,Динамо Брест,4,0
12.04.2008,Витебск,Локомотив Минск,0,0
12.04.2008,Гранит-Микашевичи,Сморгонь,3,0
12.04.2008,Гомель,Динамо Брест,2,0
12.04.2008,Днепр Могилев,Шахтер Солигорск,2,2
12.04.2008,Дарида,Савит Могилев,0,1
12.04.2008,Динамо Минск,МТЗ-РИПО Минск,2,0
12.04.2008,Неман Гродно,Нафтан Новополоцк,1,2
12.04.2008,Торпедо Жодино,БАТЭ Борисов,0,0
20.04.2008,Савит Могилев,Торпедо Жодино,0,2
20.04.2008,Шахтер Солигорск,Неман Гродно,3,2
20.04.2008,Динамо Брест,Динамо Минск,1,1
20.04.2008,Сморгонь,Гомель,2,1
20.04.2008,Локомотив Минск,Дарида,2,2
20.04.2008,БАТЭ Борисов,Днепр Могилев,2,2
20.04.2008,Нафтан Новополоцк,Гранит-Микашевичи,1,0
20.04.2008,МТЗ-РИПО Минск,Витебск,1,2
26.04.2008,Витебск,Динамо Брест,1,0
26.04.2008,Гранит-Микашевичи,Шахтер Солигорск,0,0
26.04.2008,Днепр Могилев,Савит Могилев,1,1
26.04.2008,Дарида,МТЗ-РИПО Минск,3,6
26.04.2008,Сморгонь,Нафтан Новополоцк,2,1
26.04.2008,Гомель,Динамо Минск,0,2
26.04.2008,Неман Гродно,БАТЭ Борисов,0,2
26.04.2008,Торпедо Жодино,Локомотив Минск,6,2
04.05.2008,Нафтан Новополоцк,Гомель,1,2
04.05.2008,МТЗ-РИПО Минск,Торпедо Жодино,4,2
04.05.2008,Савит Могилев,Неман Гродно,3,5
04.05.2008,Шахтер Солигорск,Сморгонь,0,1
04.05.2008,Динамо Брест,Дарида,2,1
04.05.2008,Локомотив Минск,Днепр Могилев,2,1
04.05.2008,БАТЭ Борисов,Гранит-Микашевичи,1,1
05.05.2008,Динамо Минск,Витебск,1,2
10.05.2008,Торпедо Жодино,Динамо Брест,1,1
10.05.2008,Нафтан Новополоцк,Шахтер Солигорск,1,1
10.05.2008,Гомель,Витебск,1,2
10.05.2008,Гранит-Микашевичи,Савит Могилев,1,0
10.05.2008,Днепр Могилев,МТЗ-РИПО Минск,1,2
10.05.2008,Дарида,Динамо Минск,0,3
10.05.2008,Сморгонь,БАТЭ Борисов,0,0
10.05.2008,Неман Гродно,Локомотив Минск,2,1
14.05.2008,Шахтер Солигорск,Гомель,1,1
14.05.2008,МТЗ-РИПО Минск,Неман Гродно,1,1
16.05.2008,Динамо Минск,Торпедо Жодино,0,1
17.05.2008,Савит Могилев,Сморгонь,2,0
17.05.2008,Витебск,Дарида,0,0
17.05.2008,Локомотив Минск,Гранит-Микашевичи,0,0
17.05.2008,БАТЭ Борисов,Нафтан Новополоцк,2,1
17.05.2008,Динамо Брест,Днепр Могилев,0,0
06.06.2008,Торпедо Жодино,Витебск,1,1
06.06.2008,Нафтан Новополоцк,Савит Могилев,2,0
06.06.2008,Гранит-Микашевичи,МТЗ-РИПО Минск,1,3
06.06.2008,Днепр Могилев,Динамо Минск,3,1
06.06.2008,Шахтер Солигорск,БАТЭ Борисов,0,2
