date,team1,team2,score1,score2
01.04.2017,Городея,Шахтер Солигорск,0,1
01.04.2017,Торпедо-БелАЗ,Ислочь,2,1
01.04.2017,Днепр Могилев,Динамо Минск,0,3
01.04.2017,Гомель,БАТЭ Борисов,1,1
01.04.2017,Нафтан Новополоцк,Слуцк,0,1
01.04.2017,Минск,Динамо Брест,2,2
02.04.2017,Крумкачы Минск,Витебск,1,0
02.04.2017,Неман Гродно,Славия Мозырь,0,0
08.04.2017,Витебск,Днепр Могилев,0,4
08.04.2017,Славия Мозырь,Городея,1,0
08.04.2017,Ислочь,Неман Гродно,0,1
09.04.2017,Шахтер Солигорск,Гомель,0,0
09.04.2017,Крумкачы Минск,Динамо Брест,1,1
09.04.2017,БАТЭ Борисов,Минск,1,0
09.04.2017,Динамо Минск,Нафтан Новополоцк,1,0
10.04.2017,Слуцк,Торпедо-БелАЗ,4,1
14.04.2017,Днепр Могилев,Крумкачы Минск,2,1
14.04.2017,Нафтан Новополоцк,Витебск,0,0
15.04.2017,Городея,Ислочь,2,0
15.04.2017,Торпедо-БелАЗ,Динамо Минск,1,0
15.04.2017,Динамо Брест,БАТЭ Борисов,1,1
15.04.2017,Гомель,Славия Мозырь,2,0
15.04.2017,Неман Гродно,Слуцк,2,1
15.04.2017,Минск,Шахтер Солигорск,0,1
21.04.2017,Витебск,Торпедо-БелАЗ,1,1
21.04.2017,Крумкачы Минск,БАТЭ Борисов,2,3
22.04.2017,Шахтер Солигорск,Динамо Брест,3,0
22.04.2017,Слуцк,Городея,1,1
22.04.2017,Днепр Могилев,Нафтан Новополоцк,4,0
22.04.2017,Динамо Минск,Неман Гродно,1,0
23.04.2017,Славия Мозырь,Минск,2,2
23.04.2017,Ислочь,Гомель,0,1
29.04.2017,Нафтан Новополоцк,Крумкачы Минск,0,3
29.04.2017,Минск,Ислочь,2,0
29.04.2017,Неман Гродно,Витебск,1,4
30.04.2017,Городея,Динамо Минск,1,0
30.04.2017,Торпедо-БелАЗ,Днепр Могилев,0,0
30.04.2017,Динамо Брест,Славия Мозырь,3,1
30.04.2017,Гомель,Слуцк,0,1
30.04.2017,БАТЭ Борисов,Шахтер Солигорск,1,0
05.05.2017,Ислочь,Динамо Брест,3,1
05.05.2017,Витебск,Городея,0,0
06.05.2017,Слуцк,Минск,2,0
06.05.2017,Славия Мозырь,БАТЭ Борисов,0,6
06.05.2017,Динамо Минск,Гомель,1,0
07.05.2017,Нафтан Новополоцк,Торпедо-БелАЗ,0,1
07.05.2017,Крумкачы Минск,Шахтер Солигорск,0,2
07.05.2017,Днепр Могилев,Неман Гродно,0,3
10.05.2017,Минск,Динамо Минск,0,2
10.05.2017,Динамо Брест,Слуцк,0,0
10.05.2017,Гомель,Витебск,0,1
10.05.2017,БАТЭ Борисов,Ислочь,2,0
11.05.2017,Городея,Днепр Могилев,2,2
11.05.2017,Шахтер Солигорск,Славия Мозырь,1,0
11.05.2017,Торпедо-БелАЗ,Крумкачы Минск,3,0
11.05.2017,Неман Гродно,Нафтан Новополоцк,2,1
14.05.2017,Витебск,Минск,3,0
14.05.2017,Слуцк,БАТЭ Борисов,1,0
14.05.2017,Динамо Минск,Динамо Брест,1,0
15.05.2017,Ислочь,Шахтер Солигорск,1,2
15.05.2017,Нафтан Новополоцк,Городея,1,0
