date,team1,team2,score1,score2
01.04.2016,Ислочь,Нафтан Новополоцк,2,0
02.04.2016,Динамо Брест,БАТЭ Борисов,1,4
02.04.2016,Белшина Бобруйск,Крумкачы Минск,1,1
02.04.2016,Городея,Шахтер Солигорск,0,1
02.04.2016,Минск,Витебск,1,0
02.04.2016,Славия Мозырь,Слуцк,1,1
02.04.2016,Торпедо-БелАЗ,Динамо Минск,0,2
03.04.2016,Неман Гродно,Гранит Микашевичи,1,1
09.04.2016,Гранит Микашевичи,Ислочь,0,1
09.04.2016,Крумкачы Минск,Неман Гродно,2,1
10.04.2016,Слуцк,Торпедо-БелАЗ,1,1
10.04.2016,Нафтан Новополоцк,Славия Мозырь,0,1
10.04.2016,Динамо Минск,Городея,2,0
10.04.2016,Динамо Брест,Минск,0,3
11.04.2016,БАТЭ Борисов,Шахтер Солигорск,2,0
11.04.2016,Белшина Бобруйск,Витебск,0,1
15.04.2016,Славия Мозырь,Гранит Микашевичи,1,3
15.04.2016,Неман Гродно,Витебск,0,0
16.04.2016,Шахтер Солигорск,Динамо Минск,0,0
16.04.2016,Минск,БАТЭ Борисов,2,3
16.04.2016,Торпедо-БелАЗ,Нафтан Новополоцк,2,1
16.04.2016,Белшина Бобруйск,Динамо Брест,4,2
17.04.2016,Ислочь,Крумкачы Минск,0,0
17.04.2016,Городея,Слуцк,2,0
23.04.2016,Динамо Брест,Неман Гродно,2,0
23.04.2016,Крумкачы Минск,Славия Мозырь,1,0
23.04.2016,Витебск,Ислочь,1,2
24.04.2016,Слуцк,Шахтер Солигорск,1,0
24.04.2016,Нафтан Новополоцк,Городея,0,0
24.04.2016,Минск,Белшина Бобруйск,1,1
24.04.2016,БАТЭ Борисов,Динамо Минск,3,3
25.04.2016,Гранит Микашевичи,Торпедо-БелАЗ,1,1
29.04.2016,Белшина Бобруйск,БАТЭ Борисов,2,3
29.04.2016,Неман Гродно,Минск,0,1
29.04.2016,Шахтер Солигорск,Нафтан Новополоцк,2,0
29.04.2016,Динамо Минск,Слуцк,1,1
30.04.2016,Гранит Микашевичи,Городея,0,0
30.04.2016,Славия Мозырь,Витебск,0,4
30.04.2016,Торпедо-БелАЗ,Крумкачы Минск,3,0
30.04.2016,Ислочь,Динамо Брест,0,3
07.05.2016,Гранит Микашевичи,Шахтер Солигорск,1,1
07.05.2016,Белшина Бобруйск,Неман Гродно,1,1
07.05.2016,Динамо Брест,Славия Мозырь,0,0
07.05.2016,Крумкачы Минск,Городея,0,1
08.05.2016,БАТЭ Борисов,Слуцк,3,0
08.05.2016,Нафтан Новополоцк,Динамо Минск,1,1
08.05.2016,Минск,Ислочь,0,1
08.05.2016,Витебск,Торпедо-БелАЗ,0,1
11.05.2016,Шахтер Солигорск,Крумкачы Минск,0,2
12.05.2016,Городея,Витебск,0,2
12.05.2016,Славия Мозырь,Минск,6,2
12.05.2016,Нафтан Новополоцк,Слуцк,1,0
12.05.2016,Неман Гродно,БАТЭ Борисов,0,1
12.05.2016,Ислочь,Белшина Бобруйск,2,3
13.05.2016,Гранит Микашевичи,Динамо Минск,1,1
30.05.2016,Динамо Брест,Торпедо-БелАЗ,3,2
16.05.2016,Динамо Брест,Городея,1,1
16.05.2016,Нафтан Новополоцк,БАТЭ Борисов,3,2
16.05.2016,Минск,Торпедо-БелАЗ,0,0
16.05.2016,Витебск,Шахтер Солигорск,1,3
17.05.2016,Гранит Микашевичи,Слуцк,2,1
17.05.2016,Белшина Бобруйск,Славия Мозырь,2,2
