date,team1,team2,score1,score2
14.04.2007,Гомель,Нафтан Новополоцк,3,1
15.04.2007,Сморгонь,Минск,2,1
15.04.2007,Динамо Брест,МТЗ-РИПО Минск,0,1
15.04.2007,Дарида,Шахтер Солигорск,0,3
15.04.2007,БАТЭ Борисов,Неман Гродно,2,1
15.04.2007,Витебск,Днепр Могилев,0,2
15.04.2007,Торпедо Жодино,Динамо Минск,2,2
21.04.2007,Днепр Могилев,Торпедо Жодино,1,1
21.04.2007,Шахтер Солигорск,Гомель,0,0
21.04.2007,БАТЭ Борисов,Сморгонь,4,2
21.04.2007,МТЗ-РИПО Минск,Дарида,1,0
21.04.2007,Неман Гродно,Нафтан Новополоцк,3,2
22.04.2007,Минск,Витебск,2,1
22.04.2007,Динамо Минск,Динамо Брест,0,2
27.04.2007,Витебск,БАТЭ Борисов,0,1
27.04.2007,Динамо Брест,Днепр Могилев,1,1
27.04.2007,Сморгонь,Неман Гродно,0,0
28.04.2007,Нафтан Новополоцк,Шахтер Солигорск,0,2
28.04.2007,Дарида,Динамо Минск,1,0
28.04.2007,Гомель,МТЗ-РИПО Минск,2,2
28.04.2007,Торпедо Жодино,Минск,2,1
06.05.2007,БАТЭ Борисов,Торпедо Жодино,3,0
06.05.2007,Днепр Могилев,Дарида,0,1
06.05.2007,Неман Гродно,Шахтер Солигорск,2,0
06.05.2007,Сморгонь,Витебск,1,1
06.05.2007,Минск,Динамо Брест,0,0
06.05.2007,МТЗ-РИПО Минск,Нафтан Новополоцк,1,0
07.05.2007,Динамо Минск,Гомель,1,0
12.05.2007,Гомель,Днепр Могилев,4,0
12.05.2007,Динамо Брест,БАТЭ Борисов,2,1
12.05.2007,Витебск,Неман Гродно,0,0
12.05.2007,Нафтан Новополоцк,Динамо Минск,1,0
12.05.2007,Дарида,Минск,0,0
12.05.2007,Торпедо Жодино,Сморгонь,1,0
12.05.2007,Шахтер Солигорск,МТЗ-РИПО Минск,1,1
18.05.2007,Минск,Гомель,2,6
18.05.2007,БАТЭ Борисов,Дарида,4,1
18.05.2007,Витебск,Торпедо Жодино,1,1
19.05.2007,Днепр Могилев,Нафтан Новополоцк,0,0
19.05.2007,Неман Гродно,МТЗ-РИПО Минск,2,1
19.05.2007,Сморгонь,Динамо Брест,1,0
19.05.2007,Динамо Минск,Шахтер Солигорск,1,0
22.05.2007,Гомель,БАТЭ Борисов,1,3
23.05.2007,Динамо Брест,Витебск,0,1
26.05.2007,Нафтан Новополоцк,Минск,3,0
26.05.2007,Торпедо Жодино,Неман Гродно,0,0
26.05.2007,Шахтер Солигорск,Днепр Могилев,2,0
26.05.2007,Сморгонь,Дарида,1,1
26.05.2007,МТЗ-РИПО Минск,Динамо Минск,1,0
10.06.2007,БАТЭ Борисов,Нафтан Новополоцк,4,2
10.06.2007,Днепр Могилев,МТЗ-РИПО Минск,2,1
10.06.2007,Торпедо Жодино,Динамо Брест,1,0
10.06.2007,Сморгонь,Гомель,1,1
10.06.2007,Минск,Шахтер Солигорск,0,0
10.06.2007,Неман Гродно,Динамо Минск,1,1
10.06.2007,Витебск,Дарида,2,1
15.06.2007,Дарида,Торпедо Жодино,1,2
15.06.2007,Шахтер Солигорск,БАТЭ Борисов,3,4
15.06.2007,Гомель,Витебск,2,1
15.06.2007,Динамо Брест,Неман Гродно,0,0
15.06.2007,МТЗ-РИПО Минск,Минск,2,1
15.06.2007,Нафтан Новополоцк,Сморгонь,0,1
16.06.2007,Динамо Минск,Днепр Могилев,1,0
19.06.2007,Сморгонь,Шахтер Солигорск,0,2
20.06.2007,БАТЭ Борисов,МТЗ-РИПО Минск,0,3
20.06.2007,Динамо Брест,Дарида,2,1
20.06.2007,Витебск,Нафтан Новополоцк,1,2
20.06.2007,Днепр Могилев,Неман Гродно,1,3
20.06.2007,Торпедо Жодино,Гомель,2,1
20.06.2007,Минск,Динамо Минск,2,2
27.06.2007,МТЗ-РИПО Минск,Сморгонь,2,2
27.06.2007,Гомель,Динамо Брест,4,1
27.06.2007,Нафтан Новополоцк,Торпедо Жодино,1,1
27.06.2007,Днепр Могилев,Минск,0,0
27.06.2007,Шахтер Солигорск,Витебск,1,2
27.06.2007,Дарида,Неман Гродно,0,1
28.06.2007,Динамо Минск,БАТЭ Борисов,0,3
04.07.2007,Сморгонь,Динамо Минск,0,1
04.07.2007,Неман Гродно,Минск,3,1
04.07.2007,Динамо Брест,Нафтан Новополоцк,0,0
04.07.2007,Витебск,МТЗ-РИПО Минск,0,0
04.07.2007,БАТЭ Борисов,Днепр Могилев,2,0
04.07.2007,Дарида,Гомель,2,7
15.08.2007,Торпедо Жодино,Шахтер Солигорск,1,1
10.07.2007,Минск,БАТЭ Борисов,0,1
10.07.2007,Динамо Минск,Витебск,0,0
10.07.2007,Гомель,Неман Гродно,2,0
11.07.2007,МТЗ-РИПО Минск,Торпедо Жодино,2,0
11.07.2007,Нафтан Новополоцк,Дарида,1,1
11.07.2007,Днепр Могилев,Сморгонь,0,0
11.07.2007,Шахтер Солигорск,Динамо Брест,3,2
28.07.2007,МТЗ-РИПО Минск,Динамо Брест,2,1
28.07.2007,Динамо Минск,Торпедо Жодино,0,0
