date,team1,team2,score1,score2
10.04.2015,Гомель,Белшина Бобруйск,2,0
10.04.2015,БАТЭ Борисов,Славия Мозырь,1,0
11.04.2015,Минск,Нафтан Новополоцк,0,0
11.04.2015,Шахтер Солигорск,Слуцк,2,0
11.04.2015,Неман Гродно,Динамо Минск,1,1
11.04.2015,Гранит Микашевичи,Витебск,1,1
11.04.2015,Торпедо-БелАЗ,Динамо Брест,1,3
18.04.2015,Нафтан Новополоцк,Гранит Микашевичи,0,0
18.04.2015,Гомель,Неман Гродно,0,0
19.04.2015,Слуцк,Торпедо-БелАЗ,1,1
19.04.2015,Славия Мозырь,Шахтер Солигорск,1,1
19.04.2015,Белшина Бобруйск,Витебск,1,1
19.04.2015,Динамо Минск,БАТЭ Борисов,0,2
20.04.2015,Динамо Брест,Минск,1,0
25.04.2015,БАТЭ Борисов,Гомель,2,0
25.04.2015,Минск,Слуцк,2,0
25.04.2015,Шахтер Солигорск,Динамо Минск,0,0
25.04.2015,Неман Гродно,Белшина Бобруйск,1,3
25.04.2015,Гранит Микашевичи,Динамо Брест,1,0
26.04.2015,Витебск,Нафтан Новополоцк,1,3
27.04.2015,Торпедо-БелАЗ,Славия Мозырь,0,1
03.05.2015,Слуцк,Гранит Микашевичи,1,2
03.05.2015,Славия Мозырь,Минск,0,0
03.05.2015,Динамо Брест,Витебск,3,2
04.05.2015,Динамо Минск,Торпедо-БелАЗ,4,0
04.05.2015,Белшина Бобруйск,Нафтан Новополоцк,1,1
04.05.2015,Гомель,Шахтер Солигорск,1,3
04.05.2015,Неман Гродно,БАТЭ Борисов,0,1
10.05.2015,Гранит Микашевичи,Славия Мозырь,3,2
10.05.2015,Торпедо-БелАЗ,Гомель,3,0
10.05.2015,Белшина Бобруйск,БАТЭ Борисов,0,1
10.05.2015,Шахтер Солигорск,Неман Гродно,3,0
10.05.2015,Нафтан Новополоцк,Динамо Брест,1,0
11.05.2015,Витебск,Слуцк,1,0
11.05.2015,Минск,Динамо Минск,0,3
16.05.2015,Славия Мозырь,Витебск,4,0
16.05.2015,Белшина Бобруйск,Динамо Брест,2,0
16.05.2015,Неман Гродно,Торпедо-БелАЗ,0,1
16.05.2015,Динамо Минск,Гранит Микашевичи,1,0
16.05.2015,Шахтер Солигорск,БАТЭ Борисов,0,0
17.05.2015,Гомель,Минск,3,0
18.05.2015,Слуцк,Нафтан Новополоцк,0,1
20.05.2015,Шахтер Солигорск,Белшина Бобруйск,0,0
20.05.2015,Торпедо-БелАЗ,БАТЭ Борисов,0,0
23.05.2015,Нафтан Новополоцк,Славия Мозырь,1,1
23.05.2015,Гранит Микашевичи,Гомель,1,0
23.05.2015,Динамо Брест,Слуцк,1,1
23.05.2015,Витебск,Динамо Минск,0,0
23.05.2015,Минск,Неман Гродно,2,0
30.05.2015,Гомель,Витебск,2,0
30.05.2015,Шахтер Солигорск,Торпедо-БелАЗ,3,1
30.05.2015,Неман Гродно,Гранит Микашевичи,2,0
30.05.2015,БАТЭ Борисов,Минск,1,0
31.05.2015,Славия Мозырь,Динамо Брест,3,0
31.05.2015,Динамо Минск,Нафтан Новополоцк,2,1
31.05.2015,Белшина Бобруйск,Слуцк,2,0
05.06.2015,Минск,Шахтер Солигорск,1,0
05.06.2015,Слуцк,Славия Мозырь,3,1
05.06.2015,Нафтан Новополоцк,Гомель,3,1
05.06.2015,Гранит Микашевичи,БАТЭ Борисов,0,1
05.06.2015,Торпедо-БелАЗ,Белшина Бобруйск,0,3
05.06.2015,Динамо Брест,Динамо Минск,1,0
05.06.2015,Витебск,Неман Гродно,0,0
17.06.2015,Торпедо-БелАЗ,Минск,2,0
17.06.2015,Гомель,Динамо Брест,2,0
17.06.2015,Белшина Бобруйск,Славия Мозырь,2,0
17.06.2015,Неман Гродно,Нафтан Новополоцк,3,1
18.06.2015,Динамо Минск,Слуцк,2,0
18.06.2015,БАТЭ Борисов,Витебск,4,0
18.06.2015,Шахтер Солигорск,Гранит Микашевичи,1,1
21.06.2015,Динамо Брест,Неман Гродно,1,3
21.06.2015,Минск,Белшина Бобруйск,2,1
21.06.2015,Слуцк,Гомель,0,0
22.06.2015,Витебск,Шахтер Солигорск,2,2
22.06.2015,Нафтан Новополоцк,БАТЭ Борисов,1,2
22.06.2015,Гранит Микашевичи,Торпедо-БелАЗ,2,1
22.06.2015,Славия Мозырь,Динамо Минск,2,4
27.06.2015,Белшина Бобруйск,Динамо Минск,0,2
27.06.2015,Торпедо-БелАЗ,Витебск,3,1
27.06.2015,Шахтер Солигорск,Нафтан Новополоцк,1,0
28.06.2015,Неман Гродно,Слуцк,0,4
28.06.2015,БАТЭ Борисов,Динамо Брест,1,0
28.06.2015,Гомель,Славия Мозырь,0,2
28.06.2015,Минск,Гранит Микашевичи,5,0
04.07.2015,Гранит Микашевичи,Белшина Бобруйск,1,5
04.07.2015,Славия Мозырь,Неман Гродно,0,0
04.07.2015,Витебск,Минск,0,4
05.07.2015,Динамо Минск,Гомель,1,0
05.07.2015,Слуцк,БАТЭ Борисов,0,1
06.07.2015,Динамо Брест,Шахтер Солигорск,3,2
06.07.2015,Нафтан Новополоцк,Торпедо-БелАЗ,0,2
10.07.2015,Славия Мозырь,БАТЭ Борисов,3,5
11.07.2015,Нафтан Новополоцк,Минск,0,1
11.07.2015,Витебск,Гранит Микашевичи,2,3
11.07.2015,Белшина Бобруйск,Гомель,3,1
12.07.2015,Слуцк,Шахтер Солигорск,0,2
12.07.2015,Динамо Минск,Неман Гродно,2,0
12.07.2015,Динамо Брест,Торпедо-БелАЗ,2,1
08.08.2015,Гранит Микашевичи,Нафтан Новополоцк,3,0
08.08.2015,Витебск,Белшина Бобруйск,1,1
09.08.2015,Торпедо-БелАЗ,Слуцк,0,0
09.08.2015,Неман Гродно,Гомель,1,0
09.08.2015,Минск,Динамо Брест,2,1
10.08.2015,Шахтер Солигорск,Славия Мозырь,6,1
10.08.2015,БАТЭ Борисов,Динамо Минск,0,1
14.08.2015,Гомель,БАТЭ Борисов,0,0
15.08.2015,Динамо Минск,Шахтер Солигорск,1,0
15.08.2015,Белшина Бобруйск,Неман Гродно,0,0
16.08.2015,Нафтан Новополоцк,Витебск,3,0
16.08.2015,Слуцк,Минск,0,1
16.08.2015,Динамо Брест,Гранит Микашевичи,0,0
17.08.2015,Славия Мозырь,Торпедо-БелАЗ,1,2
22.08.2015,Минск,Славия Мозырь,2,1
22.08.2015,БАТЭ Борисов,Неман Гродно,7,1
23.08.2015,Торпедо-БелАЗ,Динамо Минск,1,0
23.08.2015,Нафтан Новополоцк,Белшина Бобруйск,0,2
23.08.2015,Шахтер Солигорск,Гомель,4,1
23.08.2015,Витебск,Динамо Брест,2,0
24.08.2015,Гранит Микашевичи,Слуцк,1,0
29.08.2015,Слуцк,Витебск,4,2
29.08.2015,Динамо Брест,Нафтан Новополоцк,0,1
29.08.2015,Славия Мозырь,Гранит Микашевичи,2,0
30.08.2015,Гомель,Торпедо-БелАЗ,0,2
30.08.2015,Неман Гродно,Шахтер Солигорск,0,1
31.08.2015,БАТЭ Борисов,Белшина Бобруйск,1,0
31.08.2015,Динамо Минск,Минск,1,1
12.09.2015,Гранит Микашевичи,Динамо Минск,0,0
12.09.2015,БАТЭ Борисов,Шахтер Солигорск,1,1
13.09.2015,Витебск,Славия Мозырь,0,0
13.09.2015,Торпедо-БелАЗ,Неман Гродно,0,0
13.09.2015,Нафтан Новополоцк,Слуцк,0,1
