date,team1,team2,score1,score2
11.04.1999,БАТЭ Борисов,Торпедо-МАЗ Минск,2,1
11.04.1999,Славия Мозырь,Молодечно,1,0
11.04.1999,Белшина Бобруйск,Нафтан-Девон Новополоцк,2,2
11.04.1999,Шахтер Солигорск,Динамо Минск,0,1
11.04.1999,Лида,Локомотив-96 Витебск,0,0
11.04.1999,Торпедо-Кадино Могилев,Гомель,0,1
11.04.1999,Неман-Белкард Гродно,Днепр-Трансмаш,0,2
11.04.1999,Динамо Брест,Свислочь-Кровля Осиповичи,2,0
17.04.1999,Гомель,Динамо Брест,3,1
17.04.1999,Торпедо-МАЗ Минск,Шахтер Солигорск,4,1
17.04.1999,Молодечно,БАТЭ Борисов,0,3
17.04.1999,Свислочь-Кровля Осиповичи,Белшина Бобруйск,0,1
17.04.1999,Локомотив-96 Витебск,Днепр-Трансмаш,1,1
17.04.1999,Нафтан-Девон Новополоцк,Славия Мозырь,0,3
17.04.1999,Лида,Торпедо-Кадино Могилев,3,1
18.04.1999,Динамо Минск,Неман-Белкард Гродно,1,1
23.04.1999,Торпедо-Кадино Могилев,Локомотив-96 Витебск,0,4
24.04.1999,Славия Мозырь,Свислочь-Кровля Осиповичи,2,1
24.04.1999,Днепр-Трансмаш,Динамо Минск,2,1
24.04.1999,Неман-Белкард Гродно,Торпедо-МАЗ Минск,1,0
24.04.1999,Динамо Брест,Лида,1,0
24.04.1999,БАТЭ Борисов,Нафтан-Девон Новополоцк,7,1
24.04.1999,Белшина Бобруйск,Гомель,0,0
24.04.1999,Шахтер Солигорск,Молодечно,3,1
03.05.1999,Торпедо-МАЗ Минск,Днепр-Трансмаш,0,3
03.05.1999,Нафтан-Девон Новополоцк,Шахтер Солигорск,0,2
03.05.1999,Молодечно,Неман-Белкард Гродно,1,1
03.05.1999,Локомотив-96 Витебск,Динамо Минск,1,0
03.05.1999,Лида,Белшина Бобруйск,5,1
03.05.1999,Гомель,Славия Мозырь,1,0
03.05.1999,Торпедо-Кадино Могилев,Динамо Брест,1,1
03.05.1999,Свислочь-Кровля Осиповичи,БАТЭ Борисов,0,5
07.05.1999,Гомель,БАТЭ Борисов,2,2
07.05.1999,Динамо Брест,Локомотив-96 Витебск,3,0
07.05.1999,Днепр-Трансмаш,Молодечно,1,1
07.05.1999,Торпедо-МАЗ Минск,Динамо Минск,1,2
07.05.1999,Неман-Белкард Гродно,Нафтан-Девон Новополоцк,4,0
07.05.1999,Шахтер Солигорск,Свислочь-Кровля Осиповичи,8,1
07.05.1999,Славия Мозырь,Лида,3,0
07.05.1999,Белшина Бобруйск,Торпедо-Кадино Могилев,5,1
14.05.1999,Динамо Брест,Белшина Бобруйск,2,0
15.05.1999,Гомель,Шахтер Солигорск,1,0
15.05.1999,Локомотив-96 Витебск,Торпедо-МАЗ Минск,2,0
15.05.1999,Молодечно,Динамо Минск,1,2
15.05.1999,Торпедо-Кадино Могилев,Славия Мозырь,0,0
15.05.1999,Лида,БАТЭ Борисов,0,4
15.05.1999,Свислочь-Кровля Осиповичи,Неман-Белкард Гродно,0,1
15.05.1999,Нафтан-Девон Новополоцк,Днепр-Трансмаш,1,2
21.05.1999,Днепр-Трансмаш,Свислочь-Кровля Осиповичи,3,1
21.05.1999,Динамо Минск,Нафтан-Девон Новополоцк,2,1
21.05.1999,Торпедо-МАЗ Минск,Молодечно,2,1
21.05.1999,Славия Мозырь,Динамо Брест,2,1
21.05.1999,Неман-Белкард Гродно,Гомель,0,2
21.05.1999,Белшина Бобруйск,Локомотив-96 Витебск,4,0
21.05.1999,Шахтер Солигорск,Лида,4,1
21.05.1999,Торпедо-Кадино Могилев,БАТЭ Борисов,1,5
25.05.1999,Динамо Брест,БАТЭ Борисов,2,4
25.05.1999,Локомотив-96 Витебск,Молодечно,1,2
25.05.1999,Нафтан-Девон Новополоцк,Торпедо-МАЗ Минск,4,0
25.05.1999,Белшина Бобруйск,Славия Мозырь,0,0
25.05.1999,Свислочь-Кровля Осиповичи,Динамо Минск,0,0
25.05.1999,Гомель,Днепр-Трансмаш,1,1
25.05.1999,Торпедо-Кадино Могилев,Шахтер Солигорск,0,1
25.05.1999,Лида,Неман-Белкард Гродно,0,3
09.06.1999,Славия Мозырь,БАТЭ Борисов,1,3
09.06.1999,Лида,Динамо Минск,2,1
09.06.1999,Торпедо-Кадино Могилев,Днепр-Трансмаш,2,5
09.06.1999,Локомотив-96 Витебск,Нафтан-Девон Новополоцк,2,0
09.06.1999,Белшина Бобруйск,Шахтер Солигорск,3,3
09.06.1999,Свислочь-Кровля Осиповичи,Молодечно,3,0
09.06.1999,Гомель,Торпедо-МАЗ Минск,1,0
09.06.1999,Динамо Брест,Неман-Белкард Гродно,1,1
13.06.1999,БАТЭ Борисов,Локомотив-96 Витебск,3,2
13.06.1999,Шахтер Солигорск,Славия Мозырь,2,1
13.06.1999,Молодечно,Гомель,0,1
13.06.1999,Неман-Белкард Гродно,Белшина Бобруйск,1,0
13.06.1999,Торпедо-МАЗ Минск,Лида,1,0
13.06.1999,Нафтан-Девон Новополоцк,Свислочь-Кровля Осиповичи,2,1
13.06.1999,Днепр-Трансмаш,Динамо Брест,4,1
14.06.1999,Динамо Минск,Торпедо-Кадино Могилев,1,1
16.06.1999,Локомотив-96 Витебск,Свислочь-Кровля Осиповичи,6,1
17.06.1999,Славия Мозырь,Неман-Белкард Гродно,3,1
17.06.1999,БАТЭ Борисов,Шахтер Солигорск,2,1
17.06.1999,Лида,Молодечно,1,0
17.06.1999,Гомель,Нафтан-Девон Новополоцк,2,0
17.06.1999,Белшина Бобруйск,Днепр-Трансмаш,0,1
18.06.1999,Динамо Брест,Динамо Минск,2,1
