date,team1,team2,score1,score2
24.03.2012,Славия-Мозырь,Неман Гродно,1,3
24.03.2012,Минск,БАТЭ Борисов,1,0
24.03.2012,Белшина Бобруйск,Брест,3,1
25.03.2012,Нафтан Новополоцк,Шахтер Солигорск,1,2
25.03.2012,Гомель,Динамо Минск,0,0
31.03.2012,БАТЭ Борисов,Белшина Бобруйск,3,1
31.03.2012,Торпедо-БелАЗ,Нафтан Новополоцк,0,1
31.03.2012,Неман Гродно,Минск,0,1
31.03.2012,Шахтер Солигорск,Гомель,1,2
01.04.2012,Динамо Минск,Славия-Мозырь,3,1
06.04.2012,Брест,БАТЭ Борисов,0,2
06.04.2012,Славия-Мозырь,Шахтер Солигорск,0,2
06.04.2012,Белшина Бобруйск,Неман Гродно,0,0
06.04.2012,Гомель,Торпедо-БелАЗ,2,0
06.04.2012,Минск,Динамо Минск,0,0
10.04.2012,Гомель,Нафтан Новополоцк,0,0
10.04.2012,Динамо Минск,Белшина Бобруйск,1,0
10.04.2012,Торпедо-БелАЗ,Славия-Мозырь,0,0
10.04.2012,Неман Гродно,Брест,1,1
10.04.2012,Шахтер Солигорск,Минск,7,0
14.04.2012,БАТЭ Борисов,Неман Гродно,2,0
14.04.2012,Минск,Торпедо-БелАЗ,1,2
14.04.2012,Брест,Динамо Минск,1,2
14.04.2012,Славия-Мозырь,Нафтан Новополоцк,2,1
14.04.2012,Белшина Бобруйск,Шахтер Солигорск,0,4
20.04.2012,Нафтан Новополоцк,Минск,1,3
21.04.2012,Гомель,Славия-Мозырь,3,0
21.04.2012,Торпедо-БелАЗ,Белшина Бобруйск,0,1
21.04.2012,Динамо Минск,БАТЭ Борисов,0,2
21.04.2012,Шахтер Солигорск,Брест,0,1
28.04.2012,БАТЭ Борисов,Шахтер Солигорск,1,0
29.04.2012,Брест,Торпедо-БелАЗ,1,0
29.04.2012,Белшина Бобруйск,Нафтан Новополоцк,0,0
29.04.2012,Неман Гродно,Динамо Минск,0,0
29.04.2012,Минск,Гомель,1,2
03.05.2012,Нафтан Новополоцк,Брест,1,0
03.05.2012,Шахтер Солигорск,Неман Гродно,1,1
03.05.2012,Гомель,Белшина Бобруйск,1,0
03.05.2012,Торпедо-БелАЗ,БАТЭ Борисов,0,2
03.05.2012,Славия-Мозырь,Минск,1,0
07.05.2012,БАТЭ Борисов,Нафтан Новополоцк,3,0
07.05.2012,Динамо Минск,Шахтер Солигорск,1,2
07.05.2012,Брест,Гомель,0,1
07.05.2012,Неман Гродно,Торпедо-БелАЗ,1,1
07.05.2012,Белшина Бобруйск,Славия-Мозырь,3,0
12.05.2012,Гомель,БАТЭ Борисов,0,1
12.05.2012,Торпедо-БелАЗ,Динамо Минск,0,0
12.05.2012,Славия-Мозырь,Брест,2,1
12.05.2012,Нафтан Новополоцк,Неман Гродно,2,1
12.05.2012,Минск,Белшина Бобруйск,3,0
16.05.2012,Динамо Минск,Нафтан Новополоцк,4,2
16.05.2012,Брест,Минск,0,1
18.05.2012,Неман Гродно,Гомель,0,3
18.05.2012,БАТЭ Борисов,Славия-Мозырь,2,1
18.05.2012,Шахтер Солигорск,Торпедо-БелАЗ,1,0
24.05.2012,Шахтер Солигорск,Нафтан Новополоцк,0,0
24.05.2012,БАТЭ Борисов,Минск,2,0
24.05.2012,Неман Гродно,Славия-Мозырь,8,0
19.06.2012,Динамо Минск,Гомель,0,1
19.06.2012,Брест,Белшина Бобруйск,1,1
11.06.2012,Белшина Бобруйск,БАТЭ Борисов,0,1
11.06.2012,Славия-Мозырь,Динамо Минск,0,2
11.06.2012,Нафтан Новополоцк,Торпедо-БелАЗ,0,0
11.06.2012,Минск,Неман Гродно,4,4
11.06.2012,Гомель,Шахтер Солигорск,1,1
15.06.2012,Динамо Минск,Минск,1,0
15.06.2012,БАТЭ Борисов,Брест,0,1
15.06.2012,Торпедо-БелАЗ,Гомель,1,0
15.06.2012,Неман Гродно,Белшина Бобруйск,1,0
16.06.2012,Шахтер Солигорск,Славия-Мозырь,5,0
23.06.2012,Брест,Неман Гродно,1,1
23.06.2012,Минск,Шахтер Солигорск,0,2
23.06.2012,Нафтан Новополоцк,Гомель,0,1
23.06.2012,Белшина Бобруйск,Динамо Минск,1,0
23.06.2012,Славия-Мозырь,Торпедо-БелАЗ,1,0
27.06.2012,Неман Гродно,БАТЭ Борисов,1,2
27.06.2012,Шахтер Солигорск,Белшина Бобруйск,2,1
27.06.2012,Нафтан Новополоцк,Славия-Мозырь,0,0
27.06.2012,Динамо Минск,Брест,1,0
27.06.2012,Торпедо-БелАЗ,Минск,2,1
01.07.2012,Брест,Шахтер Солигорск,1,2
01.07.2012,Минск,Нафтан Новополоцк,1,0
01.07.2012,БАТЭ Борисов,Динамо Минск,1,3
01.07.2012,Белшина Бобруйск,Торпедо-БелАЗ,0,0
08.09.2012,Славия-Мозырь,Гомель,0,2
07.07.2012,Шахтер Солигорск,БАТЭ Борисов,1,1
07.07.2012,Нафтан Новополоцк,Белшина Бобруйск,3,0
07.07.2012,Торпедо-БелАЗ,Брест,1,0
08.07.2012,Динамо Минск,Неман Гродно,1,1
08.07.2012,Гомель,Минск,2,2
13.07.2012,Брест,Нафтан Новополоцк,2,1
13.07.2012,БАТЭ Борисов,Торпедо-БелАЗ,0,0
13.07.2012,Неман Гродно,Шахтер Солигорск,1,1
14.07.2012,Минск,Славия-Мозырь,3,2
14.10.2012,Белшина Бобруйск,Гомель,1,1
11.08.2012,Славия-Мозырь,Белшина Бобруйск,1,0
12.08.2012,Шахтер Солигорск,Динамо Минск,1,0
12.08.2012,Торпедо-БелАЗ,Неман Гродно,1,5
