date,team1,team2,score1,score2
29.03.2019,Гомель,Неман Гродно,2,3
29.03.2019,Минск,Витебск,0,0
30.03.2019,Ислочь,Городея,2,0
30.03.2019,Шахтер Солигорск,Торпедо Минск,1,0
30.03.2019,БАТЭ Борисов,Дняпро-МЧЗ,2,0
31.03.2019,Слуцк,Энергетик-БГУ,0,0
31.03.2019,Динамо Минск,Славия Мозырь,1,0
31.03.2019,Торпедо-БелАЗ,Динамо Брест,1,2
05.04.2019,Минск,Динамо Минск,0,0
05.04.2019,Городея,Витебск,1,1
06.04.2019,Слуцк,Гомель,0,6
06.04.2019,Энергетик-БГУ,БАТЭ Борисов,0,4
06.04.2019,Торпедо Минск,Ислочь,1,0
06.04.2019,Неман Гродно,Шахтер Солигорск,0,3
07.04.2019,Славия Мозырь,Торпедо-БелАЗ,1,2
07.04.2019,Динамо Брест,Дняпро-МЧЗ,3,1
12.04.2019,Дняпро-МЧЗ,Славия Мозырь,1,2
13.04.2019,Гомель,Энергетик-БГУ,3,0
13.04.2019,Торпедо-БелАЗ,Минск,1,1
14.04.2019,Динамо Минск,Городея,1,0
14.04.2019,Ислочь,Неман Гродно,1,0
14.04.2019,БАТЭ Борисов,Динамо Брест,0,1
14.04.2019,Витебск,Торпедо Минск,1,1
15.04.2019,Шахтер Солигорск,Слуцк,1,0
19.04.2019,Минск,Дняпро-МЧЗ,0,0
19.04.2019,Неман Гродно,Витебск,1,0
20.04.2019,Славия Мозырь,БАТЭ Борисов,1,2
20.04.2019,Торпедо Минск,Динамо Минск,0,1
20.04.2019,Городея,Торпедо-БелАЗ,0,3
21.04.2019,Слуцк,Ислочь,1,3
21.04.2019,Гомель,Шахтер Солигорск,0,1
21.04.2019,Энергетик-БГУ,Динамо Брест,1,1
25.04.2019,Торпедо-БелАЗ,Торпедо Минск,2,0
25.04.2019,Динамо Брест,Славия Мозырь,0,0
26.04.2019,Динамо Минск,Неман Гродно,0,1
26.04.2019,БАТЭ Борисов,Минск,1,0
26.04.2019,Витебск,Слуцк,2,2
27.04.2019,Шахтер Солигорск,Энергетик-БГУ,3,4
27.04.2019,Дняпро-МЧЗ,Городея,0,0
27.04.2019,Ислочь,Гомель,3,1
04.05.2019,Торпедо Минск,Дняпро-МЧЗ,0,1
04.05.2019,Неман Гродно,Торпедо-БелАЗ,0,0
05.05.2019,Энергетик-БГУ,Славия Мозырь,1,2
05.05.2019,Слуцк,Динамо Минск,2,1
05.05.2019,Минск,Динамо Брест,1,2
06.05.2019,Городея,БАТЭ Борисов,1,0
06.05.2019,Шахтер Солигорск,Ислочь,1,0
06.05.2019,Гомель,Витебск,1,2
10.05.2019,Славия Мозырь,Минск,4,3
11.05.2019,Дняпро-МЧЗ,Неман Гродно,0,3
11.05.2019,Ислочь,Энергетик-БГУ,2,1
11.05.2019,Торпедо-БелАЗ,Слуцк,1,0
11.05.2019,Динамо Брест,Городея,4,0
12.05.2019,Динамо Минск,Гомель,3,1
12.05.2019,БАТЭ Борисов,Торпедо Минск,1,0
12.05.2019,Витебск,Шахтер Солигорск,1,0
17.05.2019,Городея,Славия Мозырь,1,0
17.05.2019,Энергетик-БГУ,Минск,3,3
17.05.2019,Неман Гродно,БАТЭ Борисов,0,1
18.05.2019,Шахтер Солигорск,Динамо Минск,3,0
18.05.2019,Ислочь,Витебск,3,0
18.05.2019,Гомель,Торпедо-БелАЗ,2,3
19.05.2019,Слуцк,Дняпро-МЧЗ,2,2
19.05.2019,Торпедо Минск,Динамо Брест,0,1
22.05.2019,Витебск,Энергетик-БГУ,3,0
22.05.2019,Торпедо-БелАЗ,Шахтер Солигорск,0,1
24.05.2019,Дняпро-МЧЗ,Гомель,1,1
24.05.2019,Динамо Минск,Ислочь,1,0
24.05.2019,БАТЭ Борисов,Слуцк,3,0
25.05.2019,Динамо Брест,Неман Гродно,6,1
25.05.2019,Славия Мозырь,Торпедо Минск,2,0
25.05.2019,Минск,Городея,0,3
31.05.2019,Шахтер Солигорск,Дняпро-МЧЗ,3,1
31.05.2019,Ислочь,Торпедо-БелАЗ,1,0
01.06.2019,Витебск,Динамо Минск,1,3
01.06.2019,Энергетик-БГУ,Городея,0,0
01.06.2019,Гомель,БАТЭ Борисов,0,2
02.06.2019,Неман Гродно,Славия Мозырь,0,1
02.06.2019,Слуцк,Динамо Брест,1,3
02.06.2019,Торпедо Минск,Минск,0,0
14.06.2019,Городея,Торпедо Минск,0,0
14.06.2019,Минск,Неман Гродно,2,1
15.06.2019,Дняпро-МЧЗ,Ислочь,3,0
15.06.2019,Славия Мозырь,Слуцк,1,1
15.06.2019,Торпедо-БелАЗ,Витебск,1,0
16.06.2019,Динамо Брест,Гомель,3,0
16.06.2019,Динамо Минск,Энергетик-БГУ,6,1
16.06.2019,БАТЭ Борисов,Шахтер Солигорск,3,1
21.06.2019,Неман Гродно,Городея,1,3
21.06.2019,Энергетик-БГУ,Торпедо Минск,2,1
22.06.2019,Шахтер Солигорск,Динамо Брест,0,0
22.06.2019,Динамо Минск,Торпедо-БелАЗ,0,3
22.06.2019,Ислочь,БАТЭ Борисов,0,0
23.06.2019,Витебск,Дняпро-МЧЗ,2,1
23.06.2019,Слуцк,Минск,1,0
23.06.2019,Гомель,Славия Мозырь,2,2
28.06.2019,Торпедо-БелАЗ,Энергетик-БГУ,3,3
28.06.2019,Торпедо Минск,Неман Гродно,0,3
29.06.2019,Минск,Гомель,3,2
29.06.2019,Динамо Брест,Ислочь,5,1
29.06.2019,Городея,Слуцк,1,0
30.06.2019,Дняпро-МЧЗ,Динамо Минск,0,2
30.06.2019,Славия Мозырь,Шахтер Солигорск,0,1
30.06.2019,БАТЭ Борисов,Витебск,3,0
05.07.2019,Торпедо-БелАЗ,Дняпро-МЧЗ,1,0
05.07.2019,Динамо Минск,БАТЭ Борисов,1,2
06.07.2019,Энергетик-БГУ,Неман Гродно,2,4
06.07.2019,Витебск,Динамо Брест,0,1
06.07.2019,Шахтер Солигорск,Минск,3,2
07.07.2019,Гомель,Городея,0,0
07.07.2019,Слуцк,Торпедо Минск,1,0
07.07.2019,Ислочь,Славия Мозырь,2,1
12.07.2019,Минск,Ислочь,3,3
12.07.2019,Дняпро-МЧЗ,Энергетик-БГУ,3,4
13.07.2019,Неман Гродно,Слуцк,0,0
13.07.2019,БАТЭ Борисов,Торпедо-БелАЗ,4,1
