date,team1,team2,score1,score2
01.08.1992,Молодечно,Динамо Минск,1,3
01.08.1992,Фандок Бобруйск,Локомотив Витебск,0,0
01.08.1992,Ведрич Речица,Шахтер Солигорск,2,0
01.08.1992,Торпедо Могилев,Обувщик Лида,3,0
01.08.1992,Днепр Могилёв,Беларусь Минск,0,1
01.08.1992,Неман Гродно,Строитель Старые Дороги,2,1
01.08.1992,КИМ Витебск,Торпедо Жодино,3,0
01.08.1992,Динамо Брест,Гомсельмаш,1,0
06.08.1992,Беларусь Минск,Неман Гродно,0,0
06.08.1992,Локомотив Витебск,Торпедо Могилев,0,2
06.08.1992,Торпедо Минск,Фандок Бобруйск,0,0
06.08.1992,Днепр Могилёв,Динамо Брест,1,0
06.08.1992,Обувщик Лида,Динамо Минск,2,4
06.08.1992,Торпедо Жодино,Молодечно,1,4
09.11.1992,Гомсельмаш,КИМ Витебск,1,3
09.11.1992,Строитель Старые Дороги,Ведрич Речица,5,0
09.08.1992,Строитель Старые Дороги,Днепр Могилёв,0,2
11.08.1992,Торпедо Жодино,Динамо Брест,0,2
11.08.1992,Шахтер Солигорск,Неман Гродно,2,0
11.08.1992,Локомотив Витебск,Торпедо Минск,1,1
11.08.1992,Обувщик Лида,Фандок Бобруйск,0,0
11.08.1992,Гомсельмаш,Беларусь Минск,1,3
11.08.1992,Молодечно,Торпедо Могилев,0,0
30.09.1992,Динамо Минск,КИМ Витебск,2,0
16.08.1992,КИМ Витебск,Шахтер Солигорск,3,1
16.08.1992,Фандок Бобруйск,Торпедо Жодино,2,0
16.08.1992,Неман Гродно,Обувщик Лида,1,0
16.08.1992,Торпедо Могилев,Динамо Минск,1,1
16.08.1992,Торпедо Минск,Гомсельмаш,3,3
16.08.1992,Днепр Могилёв,Локомотив Витебск,2,2
16.08.1992,Динамо Брест,Строитель Старые Дороги,1,0
16.08.1992,Ведрич Речица,Молодечно,1,0
21.08.1992,Динамо Минск,Днепр Могилёв,4,0
21.08.1992,Ведрич Речица,Фандок Бобруйск,1,1
21.08.1992,Шахтер Солигорск,Торпедо Минск,1,1
21.08.1992,Торпедо Могилев,Неман Гродно,1,1
21.08.1992,Обувщик Лида,Беларусь Минск,0,1
21.08.1992,Строитель Старые Дороги,Локомотив Витебск,2,0
21.08.1992,Торпедо Жодино,Гомсельмаш,0,1
21.08.1992,Молодечно,Динамо Брест,0,0
26.08.1992,Беларусь Минск,Торпедо Могилев,0,1
27.08.1992,Торпедо Минск,КИМ Витебск,0,2
27.08.1992,Динамо Брест,Фандок Бобруйск,1,0
27.08.1992,Локомотив Витебск,Молодечно,7,4
27.08.1992,Торпедо Жодино,Шахтер Солигорск,0,1
27.08.1992,Строитель Старые Дороги,Динамо Минск,1,1
27.08.1992,Днепр Могилёв,Неман Гродно,1,1
27.08.1992,Гомсельмаш,Ведрич Речица,1,0
01.09.1992,Фандок Бобруйск,Днепр Могилёв,2,0
01.09.1992,Ведрич Речица,Локомотив Витебск,0,2
01.09.1992,Неман Гродно,Торпедо Минск,0,2
01.09.1992,Шахтер Солигорск,Обувщик Лида,1,0
01.09.1992,КИМ Витебск,Беларусь Минск,1,1
01.09.1992,Молодечно,Строитель Старые Дороги,2,0
01.09.1992,Динамо Минск,Торпедо Жодино,5,0
01.09.1992,Торпедо Могилев,Гомсельмаш,0,0
06.09.1992,Торпедо Минск,Обувщик Лида,1,0
06.09.1992,Беларусь Минск,Торпедо Жодино,8,1
06.09.1992,Неман Гродно,Ведрич Речица,2,1
06.09.1992,КИМ Витебск,Торпедо Могилев,0,0
06.09.1992,Гомсельмаш,Строитель Старые Дороги,1,0
06.09.1992,Динамо Брест,Динамо Минск,0,3
06.09.1992,Фандок Бобруйск,Молодечно,3,0
06.09.1992,Днепр Могилёв,Шахтер Солигорск,4,1
11.09.1992,Молодечно,Неман Гродно,3,1
11.09.1992,Динамо Минск,Фандок Бобруйск,1,0
11.09.1992,Шахтер Солигорск,Динамо Брест,1,1
11.09.1992,Торпедо Жодино,Торпедо Минск,1,1
11.09.1992,Обувщик Лида,Днепр Могилёв,0,1
11.09.1992,Строитель Старые Дороги,Беларусь Минск,0,1
11.09.1992,Ведрич Речица,КИМ Витебск,0,0
11.09.1992,Локомотив Витебск,Гомсельмаш,0,0
16.09.1992,Торпедо Минск,Строитель Старые Дороги,2,0
16.09.1992,Днепр Могилёв,Торпедо Жодино,3,1
17.09.1992,КИМ Витебск,Молодечно,1,0
17.09.1992,Беларусь Минск,Локомотив Витебск,2,1
17.09.1992,Торпедо Могилев,Ведрич Речица,4,2
17.09.1992,Неман Гродно,Динамо Минск,1,5
17.09.1992,Фандок Бобруйск,Шахтер Солигорск,0,0
17.09.1992,Динамо Брест,Обувщик Лида,5,0
22.09.1992,Торпедо Жодино,Строитель Старые Дороги,0,1
22.09.1992,КИМ Витебск,Фандок Бобруйск,1,0
22.09.1992,Шахтер Солигорск,Гомсельмаш,1,0
22.09.1992,Молодечно,Торпедо Минск,0,3
22.09.1992,Обувщик Лида,Локомотив Витебск,1,1
22.09.1992,Ведрич Речица,Днепр Могилёв,0,2
22.09.1992,Торпедо Могилев,Динамо Брест,2,0
22.09.1992,Динамо Минск,Беларусь Минск,1,0
26.09.1992,Гомсельмаш,Обувщик Лида,1,2
26.09.1992,Днепр Могилёв,Молодечно,0,0
26.09.1992,Неман Гродно,КИМ Витебск,1,0
26.09.1992,Локомотив Витебск,Торпедо Жодино,0,2
26.09.1992,Динамо Брест,Ведрич Речица,4,0
26.09.1992,Торпедо Минск,Динамо Минск,1,3
26.09.1992,Фандок Бобруйск,Торпедо Могилев,2,1
26.09.1992,Беларусь Минск,Шахтер Солигорск,2,1
03.10.1992,Шахтер Солигорск,Молодечно,1,0
03.10.1992,Гомсельмаш,Фандок Бобруйск,0,2
03.10.1992,Обувщик Лида,Ведрич Речица,1,1
03.10.1992,Торпедо Жодино,Торпедо Могилев,2,2
03.10.1992,Торпедо Минск,Днепр Могилёв,0,3
03.10.1992,Локомотив Витебск,Неман Гродно,1,3
03.10.1992,Строитель Старые Дороги,КИМ Витебск,1,1
03.10.1992,Беларусь Минск,Динамо Брест,1,2
10.10.1992,Ведрич Речица,Торпедо Жодино,2,0
10.10.1992,Неман Гродно,Гомсельмаш,0,0
10.10.1992,Динамо Брест,Торпедо Минск,0,0
10.10.1992,Фандок Бобруйск,Беларусь Минск,0,1
10.10.1992,Динамо Минск,Шахтер Солигорск,2,0
10.10.1992,Молодечно,Обувщик Лида,2,1
10.10.1992,Торпедо Могилев,Строитель Старые Дороги,0,0
10.10.1992,КИМ Витебск,Локомотив Витебск,2,0
17.10.1992,Строитель Старые Дороги,Обувщик Лида,2,0
17.10.1992,Динамо Брест,КИМ Витебск,1,1
17.10.1992,Торпедо Минск,Ведрич Речица,1,1
17.10.1992,Гомсельмаш,Динамо Минск,0,3
17.10.1992,Фандок Бобруйск,Неман Гродно,0,0
17.10.1992,Локомотив Витебск,Шахтер Солигорск,0,1
17.10.1992,Днепр Могилёв,Торпедо Могилев,1,1
17.10.1992,Беларусь Минск,Молодечно,2,1
24.10.1992,Обувщик Лида,Торпедо Жодино,2,1
24.10.1992,Торпедо Могилев,Торпедо Минск,3,1
24.10.1992,Шахтер Солигорск,Строитель Старые Дороги,0,0
24.10.1992,КИМ Витебск,Днепр Могилёв,3,1
24.10.1992,Неман Гродно,Динамо Брест,1,0
24.10.1992,Молодечно,Гомсельмаш,0,1
24.10.1992,Динамо Минск,Локомотив Витебск,1,0
24.10.1992,Ведрич Речица,Беларусь Минск,2,2
31.10.1992,Динамо Минск,Ведрич Речица,6,1
31.10.1992,Гомсельмаш,Днепр Могилёв,1,1
31.10.1992,Локомотив Витебск,Динамо Брест,1,1
31.10.1992,Торпедо Жодино,Неман Гродно,0,1
31.10.1992,Шахтер Солигорск,Торпедо Могилев,0,0
31.10.1992,Строитель Старые Дороги,Фандок Бобруйск,0,2
31.10.1992,Обувщик Лида,КИМ Витебск,0,0
01.11.1992,Беларусь Минск,Торпедо Минск,2,0
03.04.1993,Динамо Минск,Молодечно,2,2
04.04.1993,Строитель Старые Дороги,Неман Гродно,2,0
04.04.1993,Торпедо Жодино,КИМ Витебск,2,3
04.04.1993,Обувщик Лида,Торпедо Могилев,0,0
04.04.1993,Беларусь Минск,Днепр Могилёв,2,0
04.04.1993,Гомсельмаш,Динамо Брест,0,1
04.04.1993,Шахтер Солигорск,Ведрич Речица,2,1
04.04.1993,Локомотив Витебск,Фандок Бобруйск,0,0
08.04.1993,Молодечно,Торпедо Жодино,1,0
08.04.1993,Неман Гродно,Беларусь Минск,1,0
08.04.1993,КИМ Витебск,Гомсельмаш,1,0
08.04.1993,Торпедо Могилев,Локомотив Витебск,0,0
08.04.1993,Фандок Бобруйск,Торпедо Минск,1,0
08.04.1993,Динамо Брест,Днепр Могилёв,0,1
08.04.1993,Динамо Минск,Обувщик Лида,4,0
08.04.1993,Ведрич Речица,Строитель Старые Дороги,1,0
12.04.1993,Беларусь Минск,Гомсельмаш,0,0
12.04.1993,Торпедо Могилев,Молодечно,0,4
12.04.1993,Динамо Брест,Торпедо Жодино,2,1
12.04.1993,Неман Гродно,Шахтер Солигорск,1,1
12.04.1993,КИМ Витебск,Динамо Минск,1,2
12.04.1993,Днепр Могилёв,Строитель Старые Дороги,4,1
12.04.1993,Торпедо Минск,Локомотив Витебск,2,0
12.04.1993,Фандок Бобруйск,Обувщик Лида,1,0
16.04.1993,Локомотив Витебск,Днепр Могилёв,2,1
16.04.1993,Строитель Старые Дороги,Динамо Брест,0,0
16.04.1993,Молодечно,Ведрич Речица,5,0
16.04.1993,Шахтер Солигорск,КИМ Витебск,0,3
