date,team1,team2,score1,score2
16.04.1993,Торпедо Жодино,Фандок Бобруйск,0,1
16.04.1993,Обувщик Лида,Неман Гродно,1,1
16.04.1993,Динамо Минск,Торпедо Могилев,2,1
16.04.1993,Гомсельмаш,Торпедо Минск,0,1
20.04.1993,Гомсельмаш,Торпедо Жодино,3,1
20.04.1993,Динамо Брест,Молодечно,1,1
20.04.1993,Днепр Могилёв,Динамо Минск,1,2
20.04.1993,Фандок Бобруйск,Ведрич Речица,2,0
20.04.1993,Торпедо Минск,Шахтер Солигорск,0,0
20.04.1993,Неман Гродно,Торпедо Могилев,1,0
20.04.1993,Беларусь Минск,Обувщик Лида,1,0
20.04.1993,Локомотив Витебск,Строитель Старые Дороги,0,0
28.04.1993,Ведрич Речица,Гомсельмаш,0,1
28.04.1993,КИМ Витебск,Торпедо Минск,0,0
28.04.1993,Фандок Бобруйск,Динамо Брест,1,0
28.04.1993,Торпедо Могилев,Беларусь Минск,1,0
28.04.1993,Молодечно,Локомотив Витебск,0,0
28.04.1993,Шахтер Солигорск,Торпедо Жодино,0,0
28.04.1993,Динамо Минск,Строитель Старые Дороги,6,0
28.04.1993,Неман Гродно,Днепр Могилёв,1,1
05.05.1993,Торпедо Жодино,Динамо Минск,0,1
05.05.1993,Гомсельмаш,Торпедо Могилев,3,0
05.05.1993,Днепр Могилёв,Фандок Бобруйск,0,0
05.05.1993,Локомотив Витебск,Ведрич Речица,2,1
05.05.1993,Торпедо Минск,Неман Гродно,0,1
05.05.1993,Обувщик Лида,Шахтер Солигорск,0,0
05.05.1993,Беларусь Минск,КИМ Витебск,2,2
05.05.1993,Строитель Старые Дороги,Молодечно,0,0
09.05.1993,Динамо Минск,Динамо Брест,3,0
09.05.1993,Молодечно,Фандок Бобруйск,1,2
09.05.1993,Шахтер Солигорск,Днепр Могилёв,0,1
09.05.1993,Обувщик Лида,Торпедо Минск,0,1
09.05.1993,Торпедо Жодино,Беларусь Минск,1,2
09.05.1993,Ведрич Речица,Неман Гродно,0,1
09.05.1993,Торпедо Могилев,КИМ Витебск,1,1
09.05.1993,Строитель Старые Дороги,Гомсельмаш,0,2
16.05.1993,КИМ Витебск,Ведрич Речица,3,0
16.05.1993,Гомсельмаш,Локомотив Витебск,0,0
16.05.1993,Неман Гродно,Молодечно,2,1
16.05.1993,Фандок Бобруйск,Динамо Минск,3,2
16.05.1993,Динамо Брест,Шахтер Солигорск,1,0
16.05.1993,Торпедо Минск,Торпедо Жодино,1,0
16.05.1993,Днепр Могилёв,Обувщик Лида,3,0
16.05.1993,Беларусь Минск,Строитель Старые Дороги,4,0
20.05.1993,Обувщик Лида,Динамо Брест,1,1
20.05.1993,Молодечно,КИМ Витебск,1,2
20.05.1993,Локомотив Витебск,Беларусь Минск,0,2
20.05.1993,Строитель Старые Дороги,Торпедо Минск,0,1
20.05.1993,Ведрич Речица,Торпедо Могилев,0,0
20.05.1993,Динамо Минск,Неман Гродно,1,1
20.05.1993,Торпедо Жодино,Днепр Могилёв,1,3
20.05.1993,Шахтер Солигорск,Фандок Бобруйск,0,2
24.05.1993,Динамо Брест,Торпедо Могилев,1,0
24.05.1993,Беларусь Минск,Динамо Минск,2,2
24.05.1993,Строитель Старые Дороги,Торпедо Жодино,1,2
24.05.1993,Фандок Бобруйск,КИМ Витебск,1,1
24.05.1993,Гомсельмаш,Шахтер Солигорск,1,0
24.05.1993,Торпедо Минск,Молодечно,0,0
24.05.1993,Локомотив Витебск,Обувщик Лида,1,0
24.05.1993,Днепр Могилёв,Ведрич Речица,5,0
28.05.1993,Динамо Минск,Торпедо Минск,2,0
28.05.1993,Торпедо Могилев,Фандок Бобруйск,2,0
28.05.1993,Шахтер Солигорск,Беларусь Минск,1,2
28.05.1993,Обувщик Лида,Гомсельмаш,3,0
28.05.1993,Молодечно,Днепр Могилёв,0,2
28.05.1993,КИМ Витебск,Неман Гродно,3,1
28.05.1993,Торпедо Жодино,Локомотив Витебск,0,3
28.05.1993,Ведрич Речица,Динамо Брест,5,1
01.06.1993,КИМ Витебск,Строитель Старые Дороги,4,0
01.06.1993,Динамо Брест,Беларусь Минск,2,1
01.06.1993,Молодечно,Шахтер Солигорск,0,1
01.06.1993,Фандок Бобруйск,Гомсельмаш,7,0
01.06.1993,Ведрич Речица,Обувщик Лида,2,0
01.06.1993,Торпедо Могилев,Торпедо Жодино,4,0
01.06.1993,Днепр Могилёв,Торпедо Минск,3,2
01.06.1993,Неман Гродно,Локомотив Витебск,2,0
05.06.1993,Локомотив Витебск,КИМ Витебск,0,2
05.06.1993,Торпедо Жодино,Ведрич Речица,0,0
05.06.1993,Гомсельмаш,Неман Гродно,0,1
05.06.1993,Торпедо Минск,Динамо Брест,1,0
05.06.1993,Беларусь Минск,Фандок Бобруйск,3,0
05.06.1993,Шахтер Солигорск,Динамо Минск,1,4
05.06.1993,Обувщик Лида,Молодечно,0,0
05.06.1993,Строитель Старые Дороги,Торпедо Могилев,2,2
09.06.1993,Торпедо Могилев,Днепр Могилёв,1,3
09.06.1993,Молодечно,Беларусь Минск,1,3
09.06.1993,Обувщик Лида,Строитель Старые Дороги,0,1
09.06.1993,КИМ Витебск,Динамо Брест,1,1
09.06.1993,Ведрич Речица,Торпедо Минск,4,2
09.06.1993,Динамо Минск,Гомсельмаш,3,1
09.06.1993,Неман Гродно,Фандок Бобруйск,4,1
09.06.1993,Шахтер Солигорск,Локомотив Витебск,0,1
13.06.1993,Гомсельмаш,Молодечно,0,0
13.06.1993,Локомотив Витебск,Динамо Минск,2,4
13.06.1993,Беларусь Минск,Ведрич Речица,1,0
13.06.1993,Торпедо Жодино,Обувщик Лида,0,1
13.06.1993,Торпедо Минск,Торпедо Могилев,2,0
13.06.1993,Строитель Старые Дороги,Шахтер Солигорск,0,0
13.06.1993,Днепр Могилёв,КИМ Витебск,1,3
13.06.1993,Динамо Брест,Неман Гродно,1,2
17.06.1993,КИМ Витебск,Обувщик Лида,4,0
17.06.1993,Торпедо Минск,Беларусь Минск,1,2
17.06.1993,Ведрич Речица,Динамо Минск,2,5
17.06.1993,Днепр Могилёв,Гомсельмаш,3,1
17.06.1993,Динамо Брест,Локомотив Витебск,2,0
17.06.1993,Неман Гродно,Торпедо Жодино,4,0
17.06.1993,Торпедо Могилев,Шахтер Солигорск,2,1
17.06.1993,Фандок Бобруйск,Строитель Старые Дороги,1,1
