date,team1,team2,score1,score2
10.07.1995,Динамо Минск,Торпедо Минск,5,1
10.07.1995,Шахтер Солигорск,Обувщик Лида,1,3
10.07.1995,МПКЦ Мозырь,Неман Гродно,7,0
10.07.1995,Атака-Аура Минск,Торпедо Могилев,0,0
11.07.1995,Шинник Бобруйск,Ведрич Речица,1,1
11.07.1995,Динамо-93 Минск,Молодечно,4,1
23.08.1995,Бобруйск,Динамо Брест,1,4
23.08.1995,Двина Витебск,Днепр Могилёв,1,2
15.07.1995,Динамо Брест,Двина Витебск,1,1
15.07.1995,Бобруйск,МПКЦ Мозырь,0,5
15.07.1995,Торпедо Минск,Атака-Аура Минск,2,1
15.07.1995,Торпедо Могилев,Динамо Минск,0,2
16.07.1995,Обувщик Лида,Молодечно,1,0
16.07.1995,Шинник Бобруйск,Шахтер Солигорск,3,1
16.07.1995,Ведрич Речица,Динамо-93 Минск,3,0
13.09.1995,Неман Гродно,Днепр Могилёв,4,1
20.07.1995,Двина Витебск,Торпедо Могилев,1,0
20.07.1995,МПКЦ Мозырь,Шинник Бобруйск,4,0
20.07.1995,Атака-Аура Минск,Шахтер Солигорск,4,0
20.07.1995,Торпедо Минск,Неман Гродно,1,0
21.07.1995,Динамо-93 Минск,Динамо Брест,1,0
21.07.1995,Молодечно,Ведрич Речица,2,1
21.07.1995,Динамо Минск,Бобруйск,6,1
27.09.1995,Днепр Могилёв,Обувщик Лида,3,0
25.07.1995,Неман Гродно,Атака-Аура Минск,0,4
25.07.1995,Шахтер Солигорск,МПКЦ Мозырь,1,3
25.07.1995,Обувщик Лида,Торпедо Минск,1,1
25.07.1995,Шинник Бобруйск,Динамо Минск,0,3
25.07.1995,Торпедо Могилев,Динамо-93 Минск,1,3
26.07.1995,Бобруйск,Двина Витебск,0,0
26.07.1995,Ведрич Речица,Днепр Могилёв,1,3
26.07.1995,Динамо Брест,Молодечно,3,2
01.08.1995,Двина Витебск,Атака-Аура Минск,0,2
01.08.1995,Обувщик Лида,Торпедо Могилев,0,0
01.08.1995,Днепр Могилёв,Шахтер Солигорск,0,1
01.08.1995,Динамо-93 Минск,Динамо Минск,0,2
01.08.1995,Ведрич Речица,Динамо Брест,2,0
01.08.1995,Неман Гродно,Бобруйск,3,0
01.08.1995,Молодечно,МПКЦ Мозырь,2,1
02.08.1995,Торпедо Минск,Шинник Бобруйск,0,1
13.08.1995,Динамо Минск,Динамо Брест,5,2
13.08.1995,Шахтер Солигорск,Бобруйск,2,1
13.08.1995,Днепр Могилёв,Торпедо Минск,3,2
13.08.1995,Двина Витебск,Ведрич Речица,1,0
13.08.1995,МПКЦ Мозырь,Торпедо Могилев,3,1
13.08.1995,Молодечно,Неман Гродно,1,3
14.08.1995,Атака-Аура Минск,Шинник Бобруйск,3,0
15.08.1995,Динамо-93 Минск,Обувщик Лида,2,1
17.08.1995,Динамо Минск,Двина Витебск,3,1
18.08.1995,Шахтер Солигорск,Молодечно,1,1
18.08.1995,Торпедо Могилев,Неман Гродно,1,1
18.08.1995,Бобруйск,Торпедо Минск,0,0
19.08.1995,Атака-Аура Минск,Ведрич Речица,1,0
19.08.1995,Шинник Бобруйск,Днепр Могилёв,1,2
19.08.1995,МПКЦ Мозырь,Динамо-93 Минск,2,2
20.08.1995,Динамо Брест,Обувщик Лида,1,1
