date,team1,team2,score1,score2
30.03.2018,Луч Минск,Минск,0,0
30.03.2018,Неман Гродно,Витебск,1,1
31.03.2018,Динамо Минск,Торпедо-БелАЗ,2,1
31.03.2018,Шахтер Солигорск,Динамо Брест,0,0
31.03.2018,Гомель,Слуцк,0,0
01.04.2018,Ислочь,Торпедо Минск,1,1
01.04.2018,Городея,Днепр Могилев,1,2
01.04.2018,БАТЭ Борисов,Смолевичи,1,0
05.04.2018,Динамо Брест,Луч Минск,2,1
05.04.2018,Слуцк,Неман Гродно,1,1
06.04.2018,Торпедо-БелАЗ,Смолевичи,1,0
06.04.2018,Днепр Могилев,Гомель,1,0
06.04.2018,Минск,БАТЭ Борисов,0,2
07.04.2018,Динамо Минск,Ислочь,0,0
07.04.2018,Витебск,Шахтер Солигорск,2,1
07.04.2018,Торпедо Минск,Городея,1,0
13.04.2018,Шахтер Солигорск,Слуцк,0,1
13.04.2018,Луч Минск,Витебск,0,2
14.04.2018,Ислочь,Торпедо-БелАЗ,0,0
14.04.2018,Неман Гродно,Днепр Могилев,0,0
14.04.2018,БАТЭ Борисов,Динамо Брест,2,0
15.04.2018,Гомель,Торпедо Минск,0,0
15.04.2018,Смолевичи,Минск,1,1
15.04.2018,Городея,Динамо Минск,0,2
21.04.2018,Динамо Минск,Гомель,2,1
21.04.2018,Торпедо-БелАЗ,Минск,2,1
21.04.2018,Луч Минск,Слуцк,0,3
22.04.2018,Динамо Брест,Смолевичи,2,2
22.04.2018,Ислочь,Городея,0,0
22.04.2018,Торпедо Минск,Неман Гродно,0,1
23.04.2018,Днепр Могилев,Шахтер Солигорск,1,1
23.04.2018,Витебск,БАТЭ Борисов,0,1
27.04.2018,Гомель,Ислочь,1,2
27.04.2018,Минск,Динамо Брест,3,3
28.04.2018,БАТЭ Борисов,Слуцк,3,1
28.04.2018,Шахтер Солигорск,Торпедо Минск,1,0
28.04.2018,Луч Минск,Днепр Могилев,2,0
28.04.2018,Неман Гродно,Динамо Минск,0,2
29.04.2018,Городея,Торпедо-БелАЗ,1,1
29.04.2018,Смолевичи,Витебск,1,1
04.05.2018,Слуцк,Смолевичи,1,0
05.05.2018,Городея,Гомель,0,0
05.05.2018,Витебск,Минск,1,0
05.05.2018,Торпедо Минск,Луч Минск,0,1
06.05.2018,Торпедо-БелАЗ,Динамо Брест,2,0
06.05.2018,Динамо Минск,Шахтер Солигорск,0,0
06.05.2018,Ислочь,Неман Гродно,1,2
07.05.2018,Днепр Могилев,БАТЭ Борисов,0,1
11.05.2018,Минск,Слуцк,0,2
12.05.2018,Динамо Брест,Витебск,3,1
12.05.2018,Гомель,Торпедо-БелАЗ,0,0
12.05.2018,Смолевичи,Днепр Могилев,2,1
13.05.2018,БАТЭ Борисов,Торпедо Минск,2,0
13.05.2018,Шахтер Солигорск,Ислочь,3,0
13.05.2018,Неман Гродно,Городея,1,0
14.05.2018,Луч Минск,Динамо Минск,1,3
20.05.2018,Днепр Могилев,Минск,0,0
20.05.2018,Торпедо Минск,Смолевичи,0,0
21.05.2018,Гомель,Неман Гродно,0,2
21.05.2018,Витебск,Торпедо-БелАЗ,2,0
22.05.2018,Городея,Шахтер Солигорск,0,1
22.05.2018,Ислочь,Луч Минск,1,1
23.05.2018,Слуцк,Динамо Брест,1,1
23.05.2018,Динамо Минск,БАТЭ Борисов,0,1
26.05.2018,Минск,Торпедо Минск,6,1
27.05.2018,Шахтер Солигорск,Гомель,2,1
27.05.2018,Смолевичи,Динамо Минск,0,2
27.05.2018,Луч Минск,Городея,1,1
28.05.2018,Неман Гродно,Торпедо-БелАЗ,1,0
28.05.2018,БАТЭ Борисов,Ислочь,1,1
29.05.2018,Динамо Брест,Днепр Могилев,1,1
29.05.2018,Витебск,Слуцк,2,0
01.06.2018,Неман Гродно,Шахтер Солигорск,0,1
01.06.2018,Динамо Минск,Минск,1,0
02.06.2018,Торпедо Минск,Динамо Брест,1,1
02.06.2018,Городея,БАТЭ Борисов,2,1
02.06.2018,Днепр Могилев,Витебск,0,1
02.06.2018,Гомель,Луч Минск,1,0
03.06.2018,Торпедо-БелАЗ,Слуцк,2,0
03.06.2018,Ислочь,Смолевичи,1,0
11.06.2018,Смолевичи,Городея,2,0
11.06.2018,Луч Минск,Неман Гродно,1,2
12.06.2018,Минск,Ислочь,0,1
12.06.2018,Слуцк,Днепр Могилев,5,0
12.06.2018,Витебск,Торпедо Минск,2,0
13.06.2018,БАТЭ Борисов,Гомель,3,0
13.06.2018,Шахтер Солигорск,Торпедо-БелАЗ,1,0
13.06.2018,Динамо Брест,Динамо Минск,1,1
16.06.2018,Торпедо Минск,Слуцк,0,1
16.06.2018,Городея,Минск,1,2
17.06.2018,Неман Гродно,БАТЭ Борисов,2,3
17.06.2018,Шахтер Солигорск,Луч Минск,4,0
17.06.2018,Торпедо-БелАЗ,Днепр Могилев,1,0
18.06.2018,Динамо Минск,Витебск,1,1
18.06.2018,Гомель,Смолевичи,0,2
18.06.2018,Ислочь,Динамо Брест,0,1
22.06.2018,Днепр Могилев,Торпедо Минск,1,2
23.06.2018,Минск,Гомель,0,2
23.06.2018,Смолевичи,Неман Гродно,0,1
24.06.2018,Луч Минск,Торпедо-БелАЗ,1,3
24.06.2018,БАТЭ Борисов,Шахтер Солигорск,0,0
24.06.2018,Слуцк,Динамо Минск,0,1
25.06.2018,Витебск,Ислочь,2,0
25.06.2018,Динамо Брест,Городея,5,2
29.06.2018,Луч Минск,БАТЭ Борисов,1,2
29.06.2018,Гомель,Динамо Брест,0,6
30.06.2018,Ислочь,Слуцк,0,1
30.06.2018,Торпедо-БелАЗ,Торпедо Минск,1,0
30.06.2018,Неман Гродно,Минск,2,2
01.07.2018,Городея,Витебск,1,1
01.07.2018,Динамо Минск,Днепр Могилев,2,1
01.07.2018,Шахтер Солигорск,Смолевичи,1,0
06.07.2018,БАТЭ Борисов,Торпедо-БелАЗ,2,1
07.07.2018,Минск,Шахтер Солигорск,0,0
07.07.2018,Динамо Минск,Торпедо Минск,1,0
07.07.2018,Динамо Брест,Неман Гродно,1,0
08.07.2018,Витебск,Гомель,1,0
08.07.2018,Слуцк,Городея,1,0
08.07.2018,Смолевичи,Луч Минск,1,1
09.07.2018,Днепр Могилев,Ислочь,0,0
13.07.2018,Слуцк,Гомель,0,1
14.07.2018,Минск,Луч Минск,3,1
14.07.2018,Витебск,Неман Гродно,5,1
14.07.2018,Смолевичи,БАТЭ Борисов,2,3
15.07.2018,Торпедо Минск,Ислочь,1,1
15.07.2018,Днепр Могилев,Городея,1,2
16.07.2018,Динамо Брест,Шахтер Солигорск,1,3
31.10.2018,Торпедо-БелАЗ,Динамо Минск,0,0
20.07.2018,БАТЭ Борисов,Минск,2,0
20.07.2018,Неман Гродно,Слуцк,0,3
21.07.2018,Гомель,Днепр Могилев,2,0
21.07.2018,Городея,Торпедо Минск,0,0
21.07.2018,Луч Минск,Динамо Брест,1,1
22.07.2018,Ислочь,Динамо Минск,0,1
23.07.2018,Смолевичи,Торпедо-БелАЗ,1,2
31.10.2018,Шахтер Солигорск,Витебск,2,1
17.08.2018,Днепр Могилев,Неман Гродно,0,0
18.08.2018,Минск,Смолевичи,0,0
18.08.2018,Торпедо-БелАЗ,Ислочь,2,1
19.08.2018,Витебск,Луч Минск,2,0
19.08.2018,Динамо Минск,Городея,0,2
19.08.2018,Слуцк,Шахтер Солигорск,1,3
20.08.2018,Торпедо Минск,Гомель,1,2
31.10.2018,Динамо Брест,БАТЭ Борисов,1,3
24.08.2018,Минск,Торпедо-БелАЗ,0,0
25.08.2018,БАТЭ Борисов,Витебск,1,1
25.08.2018,Городея,Ислочь,2,0
25.08.2018,Неман Гродно,Торпедо Минск,1,0
26.08.2018,Шахтер Солигорск,Днепр Могилев,3,1
26.08.2018,Смолевичи,Динамо Брест,1,0
26.08.2018,Гомель,Динамо Минск,0,0
27.08.2018,Слуцк,Луч Минск,1,0
31.08.2018,Витебск,Смолевичи,4,0
31.08.2018,Торпедо-БелАЗ,Городея,0,1
01.09.2018,Ислочь,Гомель,0,1
01.09.2018,Днепр Могилев,Луч Минск,0,0
01.09.2018,Динамо Брест,Минск,2,1
02.09.2018,Динамо Минск,Неман Гродно,1,0
02.09.2018,Слуцк,БАТЭ Борисов,0,1
02.09.2018,Торпедо Минск,Шахтер Солигорск,2,3
14.09.2018,Луч Минск,Торпедо Минск,3,1
15.09.2018,Шахтер Солигорск,Динамо Минск,0,0
15.09.2018,БАТЭ Борисов,Днепр Могилев,3,1
15.09.2018,Минск,Витебск,1,3
16.09.2018,Динамо Брест,Торпедо-БелАЗ,2,0
16.09.2018,Неман Гродно,Ислочь,6,0
16.09.2018,Смолевичи,Слуцк,1,2
17.09.2018,Гомель,Городея,2,0
21.09.2018,Днепр Могилев,Смолевичи,0,1
22.09.2018,Ислочь,Шахтер Солигорск,1,0
22.09.2018,Витебск,Динамо Брест,0,1
22.09.2018,Торпедо-БелАЗ,Гомель,1,0
22.09.2018,Слуцк,Минск,0,1
23.09.2018,Динамо Минск,Луч Минск,3,2
24.09.2018,Городея,Неман Гродно,0,2
26.09.2018,Торпедо Минск,БАТЭ Борисов,0,3
28.09.2018,Луч Минск,Ислочь,1,1
29.09.2018,Минск,Днепр Могилев,4,0
29.09.2018,Шахтер Солигорск,Городея,1,0
30.09.2018,БАТЭ Борисов,Динамо Минск,2,1
30.09.2018,Торпедо-БелАЗ,Витебск,2,0
30.09.2018,Смолевичи,Торпедо Минск,0,2
30.09.2018,Динамо Брест,Слуцк,4,0
01.10.2018,Неман Гродно,Гомель,2,0
05.10.2018,Городея,Луч Минск,1,1
05.10.2018,Торпедо Минск,Минск,1,0
06.10.2018,Гомель,Шахтер Солигорск,0,3
06.10.2018,Днепр Могилев,Динамо Брест,1,4
06.10.2018,Слуцк,Витебск,0,2
07.10.2018,Динамо Минск,Смолевичи,2,0
07.10.2018,Торпедо-БелАЗ,Неман Гродно,3,0
07.10.2018,Ислочь,БАТЭ Борисов,2,1
19.10.2018,Витебск,Днепр Могилев,3,1
20.10.2018,БАТЭ Борисов,Городея,3,2
20.10.2018,Минск,Динамо Минск,3,3
20.10.2018,Шахтер Солигорск,Неман Гродно,1,0
21.10.2018,Слуцк,Торпедо-БелАЗ,0,3
21.10.2018,Смолевичи,Ислочь,0,1
21.10.2018,Динамо Брест,Торпедо Минск,2,0
22.10.2018,Луч Минск,Гомель,1,0
26.10.2018,Днепр Могилев,Слуцк,2,0
26.10.2018,Ислочь,Минск,0,3
27.10.2018,Городея,Смолевичи,4,1
27.10.2018,Неман Гродно,Луч Минск,0,0
27.10.2018,Торпедо Минск,Витебск,0,1
28.10.2018,Гомель,БАТЭ Борисов,0,1
28.10.2018,Торпедо-БелАЗ,Шахтер Солигорск,1,0
28.10.2018,Динамо Минск,Динамо Брест,1,1
02.11.2018,Минск,Городея,0,5
03.11.2018,Витебск,Динамо Минск,0,1
03.11.2018,Динамо Брест,Ислочь,3,1
04.11.2018,Луч Минск,Шахтер Солигорск,1,1
04.11.2018,Днепр Могилев,Торпедо-БелАЗ,0,3
04.11.2018,Слуцк,Торпедо Минск,1,3
04.11.2018,БАТЭ Борисов,Неман Гродно,1,0
05.11.2018,Смолевичи,Гомель,1,1
09.11.2018,Динамо Минск,Слуцк,2,0
09.11.2018,Городея,Динамо Брест,1,0
10.11.2018,Неман Гродно,Смолевичи,1,1
10.11.2018,Ислочь,Витебск,0,1
10.11.2018,Гомель,Минск,0,2
11.11.2018,Торпедо Минск,Днепр Могилев,3,0
11.11.2018,Торпедо-БелАЗ,Луч Минск,0,0
21.11.2018,Шахтер Солигорск,БАТЭ Борисов,3,0
24.11.2018,Торпедо Минск,Торпедо-БелАЗ,0,2
24.11.2018,Минск,Неман Гродно,1,2
24.11.2018,Витебск,Городея,1,0
24.11.2018,Днепр Могилев,Динамо Минск,0,3
24.11.2018,Смолевичи,Шахтер Солигорск,0,2
24.11.2018,Динамо Брест,Гомель,0,0
24.11.2018,Слуцк,Ислочь,0,1
24.11.2018,БАТЭ Борисов,Луч Минск,4,1
02.12.2018,Шахтер Солигорск,Минск,4,0
02.12.2018,Торпедо Минск,Динамо Минск,0,3
02.12.2018,Торпедо-БелАЗ,БАТЭ Борисов,2,2
02.12.2018,Городея,Слуцк,2,0
02.12.2018,Неман Гродно,Динамо Брест,0,3
02.12.2018,Луч Минск,Смолевичи,1,1
02.12.2018,Ислочь,Днепр Могилев,3,2
02.12.2018,Гомель,Витебск,1,3
