date,team1,team2,score1,score2
12.04.2002,Торпедо-МАЗ Минск,Неман Гродно,1,0
12.04.2002,Днепр-Трансмаш,Локомотив-96 Витебск,3,1
12.04.2002,Звезда-ВА-БГУ Минск,Молодечно-2000,0,1
12.04.2002,Торпедо Жодино,БАТЭ Борисов,0,0
12.04.2002,Динамо Минск,Гомель,1,0
12.04.2002,Динамо Брест,Славия Мозырь,0,0
12.04.2002,Шахтер Солигорск,Белшина Бобруйск,1,0
21.04.2002,Славия Мозырь,Торпедо-МАЗ Минск,0,2
21.04.2002,Белшина Бобруйск,Динамо Минск,2,1
21.04.2002,Звезда-ВА-БГУ Минск,Днепр-Трансмаш,0,0
21.04.2002,Молодечно-2000,Неман Гродно,0,1
21.04.2002,Локомотив-96 Витебск,Торпедо Жодино,0,1
21.04.2002,БАТЭ Борисов,Шахтер Солигорск,2,0
21.04.2002,Гомель,Динамо Брест,3,0
28.04.2002,Торпедо-МАЗ Минск,Гомель,2,1
28.04.2002,Торпедо Жодино,Звезда-ВА-БГУ Минск,4,1
28.04.2002,Днепр-Трансмаш,Молодечно-2000,3,1
28.04.2002,Неман Гродно,Славия Мозырь,5,2
28.04.2002,Динамо Минск,БАТЭ Борисов,1,2
28.04.2002,Динамо Брест,Белшина Бобруйск,0,0
28.04.2002,Шахтер Солигорск,Локомотив-96 Витебск,3,1
06.05.2002,Гомель,Неман Гродно,1,1
06.05.2002,Звезда-ВА-БГУ Минск,Шахтер Солигорск,1,0
06.05.2002,Торпедо-МАЗ Минск,Белшина Бобруйск,1,0
06.05.2002,Локомотив-96 Витебск,Динамо Минск,0,2
06.05.2002,Молодечно-2000,Славия Мозырь,2,2
06.05.2002,БАТЭ Борисов,Динамо Брест,2,0
06.05.2002,Днепр-Трансмаш,Торпедо Жодино,1,0
14.05.2002,Динамо Брест,Локомотив-96 Витебск,5,0
14.05.2002,Динамо Минск,Звезда-ВА-БГУ Минск,6,3
