date,team1,team2,score1,score2
15.04.2000,Белшина Бобруйск,БАТЭ Борисов,1,1
15.04.2000,Нафтан-Девон Новополоцк,Лида,0,0
15.04.2000,Шахтер Солигорск,Ведрич-97 Речица,0,0
15.04.2000,Динамо Брест,Славия Мозырь,1,3
15.04.2000,Торпедо-МАЗ Минск,Локомотив-96 Витебск,1,1
15.04.2000,Торпедо-Кадино Могилев,Коммунальник Слоним,1,0
16.04.2000,Динамо Минск,Гомель,3,1
16.04.2000,Днепр-Трансмаш,Неман-Белкард Гродно,1,1
21.04.2000,Коммунальник Слоним,Торпедо-МАЗ Минск,0,0
21.04.2000,БАТЭ Борисов,Днепр-Трансмаш,3,1
21.04.2000,Локомотив-96 Витебск,Белшина Бобруйск,0,3
22.04.2000,Неман-Белкард Гродно,Шахтер Солигорск,3,0
22.04.2000,Нафтан-Девон Новополоцк,Динамо Минск,1,1
22.04.2000,Гомель,Динамо Брест,3,2
22.04.2000,Лида,Ведрич-97 Речица,1,1
22.04.2000,Славия Мозырь,Торпедо-Кадино Могилев,4,2
29.04.2000,Ведрич-97 Речица,Неман-Белкард Гродно,1,0
29.04.2000,Динамо Минск,Лида,4,0
29.04.2000,Шахтер Солигорск,БАТЭ Борисов,3,1
29.04.2000,Динамо Брест,Нафтан-Девон Новополоцк,2,3
29.04.2000,Торпедо-Кадино Могилев,Гомель,2,7
29.04.2000,Торпедо-МАЗ Минск,Славия Мозырь,0,0
29.04.2000,Белшина Бобруйск,Коммунальник Слоним,4,0
27.05.2000,Днепр-Трансмаш,Локомотив-96 Витебск,3,0
07.05.2000,БАТЭ Борисов,Ведрич-97 Речица,2,1
07.05.2000,Коммунальник Слоним,Днепр-Трансмаш,1,1
07.05.2000,Нафтан-Девон Новополоцк,Торпедо-Кадино Могилев,1,0
07.05.2000,Гомель,Торпедо-МАЗ Минск,1,0
07.05.2000,Локомотив-96 Витебск,Шахтер Солигорск,0,1
07.05.2000,Славия Мозырь,Белшина Бобруйск,3,2
07.05.2000,Лида,Неман-Белкард Гродно,0,0
07.05.2000,Динамо Минск,Динамо Брест,4,0
11.05.2000,Белшина Бобруйск,Гомель,0,2
11.05.2000,Шахтер Солигорск,Коммунальник Слоним,2,0
11.05.2000,Неман-Белкард Гродно,БАТЭ Борисов,3,0
11.05.2000,Днепр-Трансмаш,Славия Мозырь,0,1
11.05.2000,Динамо Брест,Лида,0,0
11.05.2000,Ведрич-97 Речица,Локомотив-96 Витебск,0,0
11.05.2000,Торпедо-МАЗ Минск,Нафтан-Девон Новополоцк,3,2
12.05.2000,Торпедо-Кадино Могилев,Динамо Минск,0,1
15.05.2000,Лида,БАТЭ Борисов,2,1
15.05.2000,Славия Мозырь,Шахтер Солигорск,1,0
15.05.2000,Коммунальник Слоним,Ведрич-97 Речица,1,3
15.05.2000,Локомотив-96 Витебск,Неман-Белкард Гродно,2,3
15.05.2000,Гомель,Днепр-Трансмаш,0,1
15.05.2000,Нафтан-Девон Новополоцк,Белшина Бобруйск,1,1
16.05.2000,Динамо Минск,Торпедо-МАЗ Минск,0,0
16.05.2000,Динамо Брест,Торпедо-Кадино Могилев,3,0
22.05.2000,Торпедо-Кадино Могилев,Лида,2,0
23.05.2000,Неман-Белкард Гродно,Коммунальник Слоним,8,0
23.05.2000,Шахтер Солигорск,Гомель,4,0
23.05.2000,БАТЭ Борисов,Локомотив-96 Витебск,1,0
23.05.2000,Днепр-Трансмаш,Нафтан-Девон Новополоцк,2,0
23.05.2000,Ведрич-97 Речица,Славия Мозырь,0,0
24.05.2000,Белшина Бобруйск,Динамо Минск,1,3
24.05.2000,Торпедо-МАЗ Минск,Динамо Брест,2,1
31.05.2000,Днепр-Трансмаш,Динамо Минск,0,1
31.05.2000,Лида,Локомотив-96 Витебск,2,2
31.05.2000,Нафтан-Девон Новополоцк,Шахтер Солигорск,0,0
