date,team1,team2,score1,score2
16.05.2003,БАТЭ Борисов,Молодечно-2000,3,2
22.06.2003,Дарида Ждановичи,Белшина Бобруйск,1,0
22.06.2003,Днепр-Трансмаш,Звезда-ВА-БГУ Минск,1,0
22.06.2003,Локомотив Минск,Динамо Минск,0,2
22.06.2003,Торпедо-СКА Минск,Торпедо Жодино,1,0
22.06.2003,Динамо Брест,Гомель,0,0
22.06.2003,Неман Гродно,Нафтан Новополоцк,1,1
24.07.2003,Славия Мозырь,Шахтер Солигорск,0,1
18.04.2003,Динамо Минск,Молодечно-2000,4,0
18.04.2003,Шахтер Солигорск,Торпедо-СКА Минск,0,0
18.04.2003,Гомель,Дарида Ждановичи,1,0
18.04.2003,Белшина Бобруйск,БАТЭ Борисов,0,0
18.04.2003,Торпедо Жодино,Днепр-Трансмаш,2,0
18.04.2003,Нафтан Новополоцк,Славия Мозырь,1,0
18.04.2003,Локомотив Минск,Неман Гродно,1,1
19.04.2003,Звезда-ВА-БГУ Минск,Динамо Брест,0,2
26.04.2003,Динамо Брест,Торпедо Жодино,0,2
26.04.2003,Торпедо-СКА Минск,Нафтан Новополоцк,1,1
26.04.2003,Молодечно-2000,Белшина Бобруйск,1,0
26.04.2003,Динамо Минск,Неман Гродно,0,0
26.04.2003,Дарида Ждановичи,Звезда-ВА-БГУ Минск,2,2
26.04.2003,Днепр-Трансмаш,Шахтер Солигорск,1,0
26.04.2003,Славия Мозырь,Локомотив Минск,0,2
26.04.2003,БАТЭ Борисов,Гомель,0,0
03.05.2003,Локомотив Минск,Торпедо-СКА Минск,0,1
04.05.2003,Динамо Минск,Белшина Бобруйск,1,3
04.05.2003,Нафтан Новополоцк,Днепр-Трансмаш,2,1
04.05.2003,Торпедо Жодино,Дарида Ждановичи,3,1
04.05.2003,Гомель,Молодечно-2000,0,0
04.05.2003,Славия Мозырь,Неман Гродно,1,0
04.05.2003,Шахтер Солигорск,Динамо Брест,5,0
04.05.2003,Звезда-ВА-БГУ Минск,БАТЭ Борисов,0,3
12.05.2003,Славия Мозырь,Динамо Минск,0,7
12.05.2003,БАТЭ Борисов,Торпедо Жодино,1,1
12.05.2003,Динамо Брест,Нафтан Новополоцк,4,2
12.05.2003,Торпедо-СКА Минск,Неман Гродно,2,1
12.05.2003,Молодечно-2000,Звезда-ВА-БГУ Минск,1,1
12.05.2003,Дарида Ждановичи,Шахтер Солигорск,2,3
12.05.2003,Днепр-Трансмаш,Локомотив Минск,0,0
12.05.2003,Белшина Бобруйск,Гомель,0,2
20.05.2003,Динамо Минск,Гомель,0,2
