date,team1,team2,score1,score2
16.04.1996,Локомотив-96 Витебск,Нафтан-Девон Новополоцк,2,0
16.04.1996,Шахтер Солигорск,Динамо Минск,1,5
16.04.1996,Торпедо-Кадино Могилев,Динамо-93 Минск,0,0
16.04.1996,Торпедо Минск,Молодечно,2,1
16.04.1996,Ведрич Речица,Белшина Бобруйск,1,2
16.04.1996,Обувщик Лида,МПКЦ Мозырь,1,3
16.04.1996,Динамо Брест,Атака-Аура Минск,1,2
21.07.1996,Неман Гродно,Днепр Могилёв,2,1
21.04.1996,Торпедо-Кадино Могилев,Молодечно,0,0
22.04.1996,Торпедо Минск,Локомотив-96 Витебск,0,0
22.04.1996,Белшина Бобруйск,Динамо Минск,0,2
22.04.1996,Шахтер Солигорск,Динамо-93 Минск,0,1
22.04.1996,Динамо Брест,Днепр Могилёв,0,1
22.04.1996,Неман Гродно,Нафтан-Девон Новополоцк,0,3
22.04.1996,Ведрич Речица,МПКЦ Мозырь,0,2
22.04.1996,Обувщик Лида,Атака-Аура Минск,0,1
26.04.1996,Динамо Минск,Ведрич Речица,1,0
27.04.1996,Молодечно,Динамо Брест,1,1
27.04.1996,МПКЦ Мозырь,Шахтер Солигорск,3,0
27.04.1996,Днепр Могилёв,Торпедо Минск,0,1
27.04.1996,Атака-Аура Минск,Торпедо-Кадино Могилев,2,1
27.04.1996,Нафтан-Девон Новополоцк,Белшина Бобруйск,2,1
27.04.1996,Локомотив-96 Витебск,Неман Гродно,2,2
28.04.1996,Динамо-93 Минск,Обувщик Лида,1,0
04.05.1996,Динамо-93 Минск,Неман Гродно,3,0
05.05.1996,Нафтан-Девон Новополоцк,Шахтер Солигорск,1,0
05.05.1996,Атака-Аура Минск,Локомотив-96 Витебск,1,0
05.05.1996,Динамо Минск,Динамо Брест,2,2
05.05.1996,Ведрич Речица,Обувщик Лида,0,0
05.05.1996,Молодечно,Днепр Могилёв,3,0
05.05.1996,МПКЦ Мозырь,Торпедо Минск,1,0
05.05.1996,Белшина Бобруйск,Торпедо-Кадино Могилев,6,0
