date,team1,team2,score1,score2
16.04.2005,Шахтер Солигорск,БАТЭ Борисов,2,2
16.04.2005,Днепр-Трансмаш,Гомель,1,0
16.04.2005,МТЗ-РИПО Минск,Динамо Минск,0,1
16.04.2005,Славия Мозырь,Торпедо Жодино,0,2
17.04.2005,Неман Гродно,Нафтан Новополоцк,1,0
17.04.2005,Динамо Брест,Дарида,0,2
17.04.2005,Локомотив Минск,Звезда-БГУ Минск,0,0
23.04.2005,Шахтер Солигорск,Днепр-Трансмаш,3,0
23.04.2005,Торпедо Жодино,Локомотив Минск,3,1
23.04.2005,Нафтан Новополоцк,Динамо Брест,2,1
23.04.2005,Звезда-БГУ Минск,Неман Гродно,0,1
24.04.2005,Гомель,МТЗ-РИПО Минск,1,0
24.04.2005,БАТЭ Борисов,Дарида,1,1
24.04.2005,Динамо Минск,Славия Мозырь,1,0
29.04.2005,Днепр-Трансмаш,БАТЭ Борисов,1,1
29.04.2005,Дарида,Нафтан Новополоцк,0,0
30.04.2005,Динамо Брест,Звезда-БГУ Минск,3,0
30.04.2005,Неман Гродно,Торпедо Жодино,0,2
30.04.2005,Славия Мозырь,Гомель,1,1
30.04.2005,МТЗ-РИПО Минск,Шахтер Солигорск,1,1
01.05.2005,Локомотив Минск,Динамо Минск,3,2
08.05.2005,Шахтер Солигорск,Славия Мозырь,0,0
08.05.2005,БАТЭ Борисов,Нафтан Новополоцк,3,0
08.05.2005,Торпедо Жодино,Динамо Брест,0,2
09.05.2005,Гомель,Локомотив Минск,0,1
09.05.2005,Динамо Минск,Неман Гродно,0,1
09.05.2005,Звезда-БГУ Минск,Дарида,0,4
09.05.2005,Днепр-Трансмаш,МТЗ-РИПО Минск,2,1
14.05.2005,Дарида,Торпедо Жодино,0,3
14.05.2005,Неман Гродно,Гомель,1,2
14.05.2005,МТЗ-РИПО Минск,БАТЭ Борисов,0,1
14.05.2005,Нафтан Новополоцк,Звезда-БГУ Минск,3,1
14.05.2005,Динамо Брест,Динамо Минск,1,1
14.05.2005,Славия Мозырь,Днепр-Трансмаш,0,3
15.05.2005,Локомотив Минск,Шахтер Солигорск,0,2
18.05.2005,БАТЭ Борисов,Звезда-БГУ Минск,4,0
18.05.2005,МТЗ-РИПО Минск,Славия Мозырь,2,0
20.05.2005,Динамо Минск,Дарида,0,1
21.05.2005,Шахтер Солигорск,Неман Гродно,3,0
21.05.2005,Торпедо Жодино,Нафтан Новополоцк,1,0
21.05.2005,Днепр-Трансмаш,Локомотив Минск,5,1
21.05.2005,Гомель,Динамо Брест,2,1
28.05.2005,Славия Мозырь,БАТЭ Борисов,2,2
28.05.2005,Звезда-БГУ Минск,Торпедо Жодино,2,2
28.05.2005,Динамо Брест,Шахтер Солигорск,0,1
28.05.2005,Локомотив Минск,МТЗ-РИПО Минск,2,3
28.05.2005,Нафтан Новополоцк,Динамо Минск,3,2
28.05.2005,Неман Гродно,Днепр-Трансмаш,1,3
29.05.2005,Дарида,Гомель,1,1
11.06.2005,Шахтер Солигорск,Дарида,3,1
11.06.2005,Славия Мозырь,Локомотив Минск,0,2
11.06.2005,Гомель,Нафтан Новополоцк,1,2
12.06.2005,Динамо Минск,Звезда-БГУ Минск,3,0
12.06.2005,МТЗ-РИПО Минск,Неман Гродно,1,0
12.06.2005,БАТЭ Борисов,Торпедо Жодино,0,1
12.06.2005,Днепр-Трансмаш,Динамо Брест,2,2
16.06.2005,Нафтан Новополоцк,Шахтер Солигорск,1,4
16.06.2005,Неман Гродно,Славия Мозырь,1,0
16.06.2005,Звезда-БГУ Минск,Гомель,0,1
17.06.2005,Локомотив Минск,БАТЭ Борисов,3,3
17.06.2005,Динамо Брест,МТЗ-РИПО Минск,1,0
17.06.2005,Торпедо Жодино,Динамо Минск,2,2
17.06.2005,Дарида,Днепр-Трансмаш,4,1
22.06.2005,Локомотив Минск,Неман Гродно,4,1
22.06.2005,БАТЭ Борисов,Динамо Минск,1,0
22.06.2005,Днепр-Трансмаш,Нафтан Новополоцк,1,1
22.06.2005,Гомель,Торпедо Жодино,2,1
22.06.2005,МТЗ-РИПО Минск,Дарида,5,1
22.06.2005,Славия Мозырь,Динамо Брест,1,3
22.06.2005,Шахтер Солигорск,Звезда-БГУ Минск,3,1
29.06.2005,Торпедо Жодино,Шахтер Солигорск,0,1
29.06.2005,Нафтан Новополоцк,МТЗ-РИПО Минск,2,3
29.06.2005,Динамо Минск,Гомель,3,1
29.06.2005,Звезда-БГУ Минск,Днепр-Трансмаш,0,2
29.06.2005,Динамо Брест,Локомотив Минск,1,2
30.06.2005,Дарида,Славия Мозырь,1,2
30.06.2005,Неман Гродно,БАТЭ Борисов,1,1
06.07.2005,Днепр-Трансмаш,Торпедо Жодино,1,0
06.07.2005,Шахтер Солигорск,Динамо Минск,1,1
06.07.2005,БАТЭ Борисов,Гомель,1,1
06.07.2005,Славия Мозырь,Нафтан Новополоцк,1,3
06.07.2005,МТЗ-РИПО Минск,Звезда-БГУ Минск,3,1
06.07.2005,Неман Гродно,Динамо Брест,2,2
07.07.2005,Локомотив Минск,Дарида,0,0
16.07.2005,Нафтан Новополоцк,Локомотив Минск,4,0
16.07.2005,Звезда-БГУ Минск,Славия Мозырь,1,2
16.07.2005,Динамо Минск,Днепр-Трансмаш,5,2
17.07.2005,Дарида,Неман Гродно,0,1
17.07.2005,Гомель,Шахтер Солигорск,0,3
19.07.2005,Торпедо Жодино,МТЗ-РИПО Минск,3,1
19.07.2005,Динамо Брест,БАТЭ Борисов,1,2
30.07.2005,Нафтан Новополоцк,Неман Гродно,3,0
30.07.2005,Звезда-БГУ Минск,Локомотив Минск,1,1
31.07.2005,Торпедо Жодино,Славия Мозырь,6,1
31.07.2005,Дарида,Динамо Брест,1,0
31.07.2005,Гомель,Днепр-Трансмаш,1,2
01.08.2005,Динамо Минск,МТЗ-РИПО Минск,3,1
01.08.2005,БАТЭ Борисов,Шахтер Солигорск,0,2
06.08.2005,МТЗ-РИПО Минск,Гомель,3,1
06.08.2005,Динамо Брест,Нафтан Новополоцк,1,0
06.08.2005,Неман Гродно,Звезда-БГУ Минск,1,0
06.08.2005,Дарида,БАТЭ Борисов,1,1
07.08.2005,Днепр-Трансмаш,Шахтер Солигорск,1,1
07.08.2005,Локомотив Минск,Торпедо Жодино,2,3
07.08.2005,Славия Мозырь,Динамо Минск,0,4
13.08.2005,Торпедо Жодино,Неман Гродно,3,2
13.08.2005,Звезда-БГУ Минск,Динамо Брест,1,4
13.08.2005,Гомель,Славия Мозырь,2,1
13.08.2005,Нафтан Новополоцк,Дарида,3,2
14.08.2005,Динамо Минск,Локомотив Минск,4,0
15.08.2005,БАТЭ Борисов,Днепр-Трансмаш,2,1
15.08.2005,Шахтер Солигорск,МТЗ-РИПО Минск,3,1
20.08.2005,Динамо Брест,Торпедо Жодино,0,1
20.08.2005,Нафтан Новополоцк,БАТЭ Борисов,1,2
20.08.2005,Славия Мозырь,Шахтер Солигорск,1,6
20.08.2005,Дарида,Звезда-БГУ Минск,1,2
21.08.2005,МТЗ-РИПО Минск,Днепр-Трансмаш,2,1
21.08.2005,Неман Гродно,Динамо Минск,1,2
21.08.2005,Локомотив Минск,Гомель,0,1
27.08.2005,Гомель,Неман Гродно,3,0
27.08.2005,Днепр-Трансмаш,Славия Мозырь,0,0
27.08.2005,Торпедо Жодино,Дарида,0,0
27.08.2005,Шахтер Солигорск,Локомотив Минск,1,0
27.08.2005,Звезда-БГУ Минск,Нафтан Новополоцк,5,3
28.08.2005,Динамо Минск,Динамо Брест,2,0
29.08.2005,БАТЭ Борисов,МТЗ-РИПО Минск,0,1
10.09.2005,Локомотив Минск,Днепр-Трансмаш,0,1
11.09.2005,Нафтан Новополоцк,Торпедо Жодино,0,2
11.09.2005,Неман Гродно,Шахтер Солигорск,0,3
11.09.2005,Дарида,Динамо Минск,0,1
11.09.2005,Звезда-БГУ Минск,БАТЭ Борисов,2,2
11.09.2005,Славия Мозырь,МТЗ-РИПО Минск,0,5
11.09.2005,Динамо Брест,Гомель,1,0
17.09.2005,БАТЭ Борисов,Славия Мозырь,2,0
17.09.2005,Динамо Минск,Нафтан Новополоцк,3,2
17.09.2005,Шахтер Солигорск,Динамо Брест,4,0
17.09.2005,МТЗ-РИПО Минск,Локомотив Минск,1,0
17.09.2005,Торпедо Жодино,Звезда-БГУ Минск,0,0
17.09.2005,Гомель,Дарида,3,1
17.09.2005,Днепр-Трансмаш,Неман Гродно,6,0
25.09.2005,Дарида,Шахтер Солигорск,0,2
25.09.2005,Звезда-БГУ Минск,Динамо Минск,2,4
25.09.2005,Локомотив Минск,Славия Мозырь,5,0
25.09.2005,Динамо Брест,Днепр-Трансмаш,2,1
