date,team1,team2,score1,score2
11.04.2001,Динамо Минск,Неман-Белкард Гродно,2,0
11.04.2001,Нафтан Новополоцк,Торпедо-МАЗ Минск,1,2
11.04.2001,Шахтер Солигорск,Днепр-Трансмаш,1,0
11.04.2001,Гомель,БАТЭ Борисов,0,1
11.04.2001,Ведрич-97 Речица,Локомотив-96 Витебск,3,1
11.04.2001,Динамо Брест,Белшина Бобруйск,0,2
11.04.2001,Молодечно-2000,Славия Мозырь,0,4
15.04.2001,Днепр-Трансмаш,Динамо Минск,4,3
15.04.2001,Славия Мозырь,Локомотив-96 Витебск,6,0
15.04.2001,Молодечно-2000,Шахтер Солигорск,0,0
15.04.2001,Неман-Белкард Гродно,Гомель,0,0
15.04.2001,Торпедо-МАЗ Минск,Ведрич-97 Речица,1,0
15.04.2001,БАТЭ Борисов,Динамо Брест,2,1
15.04.2001,Белшина Бобруйск,Нафтан Новополоцк,1,0
28.04.2001,Динамо Минск,Молодечно-2000,3,1
28.04.2001,Локомотив-96 Витебск,Торпедо-МАЗ Минск,1,0
28.04.2001,Нафтан Новополоцк,БАТЭ Борисов,1,1
28.04.2001,Динамо Брест,Неман-Белкард Гродно,0,3
28.04.2001,Шахтер Солигорск,Славия Мозырь,1,1
28.04.2001,Ведрич-97 Речица,Белшина Бобруйск,0,3
28.04.2001,Гомель,Днепр-Трансмаш,2,0
06.05.2001,Молодечно-2000,Гомель,1,0
06.05.2001,Шахтер Солигорск,Динамо Минск,2,2
06.05.2001,Славия Мозырь,Торпедо-МАЗ Минск,1,1
06.05.2001,Белшина Бобруйск,Локомотив-96 Витебск,2,0
06.05.2001,Неман-Белкард Гродно,Нафтан Новополоцк,5,0
06.05.2001,БАТЭ Борисов,Ведрич-97 Речица,3,0
06.05.2001,Днепр-Трансмаш,Динамо Брест,2,0
14.05.2001,Ведрич-97 Речица,Неман-Белкард Гродно,1,5
14.05.2001,Динамо Брест,Молодечно-2000,0,0
14.05.2001,Торпедо-МАЗ Минск,Белшина Бобруйск,0,1
14.05.2001,Локомотив-96 Витебск,БАТЭ Борисов,0,3
14.05.2001,Нафтан Новополоцк,Днепр-Трансмаш,0,1
14.05.2001,Гомель,Шахтер Солигорск,3,1
14.05.2001,Динамо Минск,Славия Мозырь,0,1
22.05.2001,Неман-Белкард Гродно,Локомотив-96 Витебск,1,0
22.05.2001,Славия Мозырь,Белшина Бобруйск,1,0
22.05.2001,Шахтер Солигорск,Динамо Брест,4,1
22.05.2001,Днепр-Трансмаш,Ведрич-97 Речица,0,2
22.05.2001,БАТЭ Борисов,Торпедо-МАЗ Минск,5,2
22.05.2001,Динамо Минск,Гомель,3,0
22.05.2001,Молодечно-2000,Нафтан Новополоцк,2,1
09.06.2001,Динамо Брест,Динамо Минск,2,1
09.06.2001,Нафтан Новополоцк,Шахтер Солигорск,0,3
10.06.2001,Локомотив-96 Витебск,Днепр-Трансмаш,1,1
10.06.2001,Гомель,Славия Мозырь,3,1
10.06.2001,Торпедо-МАЗ Минск,Неман-Белкард Гродно,0,0
10.06.2001,Ведрич-97 Речица,Молодечно-2000,1,2
10.06.2001,Белшина Бобруйск,БАТЭ Борисов,2,3
13.06.2001,Динамо Минск,Нафтан Новополоцк,1,0
14.06.2001,Днепр-Трансмаш,Торпедо-МАЗ Минск,3,1
14.06.2001,Славия Мозырь,БАТЭ Борисов,1,3
14.06.2001,Гомель,Динамо Брест,1,0
14.06.2001,Молодечно-2000,Локомотив-96 Витебск,0,1
14.06.2001,Неман-Белкард Гродно,Белшина Бобруйск,2,2
14.06.2001,Шахтер Солигорск,Ведрич-97 Речица,1,0
21.06.2001,Белшина Бобруйск,Днепр-Трансмаш,2,0
21.06.2001,Торпедо-МАЗ Минск,Молодечно-2000,1,0
21.06.2001,Ведрич-97 Речица,Динамо Минск,0,3
21.06.2001,Динамо Брест,Славия Мозырь,1,0
21.06.2001,БАТЭ Борисов,Неман-Белкард Гродно,1,1
21.06.2001,Локомотив-96 Витебск,Шахтер Солигорск,1,2
21.06.2001,Нафтан Новополоцк,Гомель,0,1
26.06.2001,Днепр-Трансмаш,БАТЭ Борисов,2,3
26.06.2001,Динамо Брест,Нафтан Новополоцк,3,0
26.06.2001,Молодечно-2000,Белшина Бобруйск,0,0
26.06.2001,Славия Мозырь,Неман-Белкард Гродно,0,1
26.06.2001,Гомель,Ведрич-97 Речица,0,0
26.06.2001,Шахтер Солигорск,Торпедо-МАЗ Минск,1,1
04.07.2001,Динамо Минск,Локомотив-96 Витебск,4,0
01.07.2001,Локомотив-96 Витебск,Гомель,0,1
