date,team1,team2,score1,score2
02.10.1993,Днепр Могилёв,Торпедо Могилев,3,0
03.10.1993,Динамо Минск,Локомотив Витебск,5,1
03.10.1993,Неман Гродно,Торпедо Минск,0,1
03.10.1993,Шинник Бобруйск,Строитель Старые Дороги,3,1
10.10.1993,Динамо Брест,Шинник Бобруйск,1,0
10.10.1993,Локомотив Витебск,КИМ Витебск,0,0
10.10.1993,Гомсельмаш,Неман Гродно,3,1
10.10.1993,Торпедо Могилев,Фандок Бобруйск,0,0
10.10.1993,Молодечно,Динамо Минск,1,2
10.10.1993,Шахтер Солигорск,Динамо-93 Минск,1,2
10.10.1993,Торпедо Минск,Днепр Могилёв,0,0
10.10.1993,Строитель Старые Дороги,Ведрич Речица,1,0
15.10.1993,Днепр Могилёв,Динамо Минск,0,0
15.10.1993,Динамо-93 Минск,Шинник Бобруйск,3,0
15.10.1993,Неман Гродно,КИМ Витебск,0,0
16.10.1993,Гомсельмаш,Шахтер Солигорск,1,2
16.10.1993,Торпедо Могилев,Молодечно,0,2
16.10.1993,Фандок Бобруйск,Ведрич Речица,3,0
16.10.1993,Торпедо Минск,Локомотив Витебск,0,0
16.10.1993,Динамо Брест,Строитель Старые Дороги,1,1
23.10.1993,Ведрич Речица,Днепр Могилёв,0,2
23.10.1993,Молодечно,Динамо Брест,0,2
23.10.1993,Шинник Бобруйск,Гомсельмаш,2,1
23.10.1993,КИМ Витебск,Динамо-93 Минск,1,0
23.10.1993,Строитель Старые Дороги,Фандок Бобруйск,1,3
23.10.1993,Шахтер Солигорск,Торпедо Минск,0,1
24.10.1993,Динамо Минск,Неман Гродно,4,1
24.10.1993,Локомотив Витебск,Торпедо Могилев,1,1
03.04.1994,Динамо-93 Минск,Динамо Брест,2,0
04.04.1994,Шинник Бобруйск,Днепр Могилёв,4,0
04.04.1994,КИМ Витебск,Торпедо Могилев,3,0
04.04.1994,Строитель Старые Дороги,Шахтер Солигорск,0,3
04.04.1994,Неман Гродно,Фандок Бобруйск,0,1
04.04.1994,Молодечно,Локомотив Витебск,3,1
04.04.1994,Ведрич Речица,Гомсельмаш,3,2
05.04.1994,Динамо Минск,Торпедо Минск,1,1
09.04.1994,Фандок Бобруйск,Динамо-93 Минск,0,1
09.04.1994,Торпедо Минск,Ведрич Речица,0,0
09.04.1994,Гомсельмаш,Строитель Старые Дороги,3,1
09.04.1994,Локомотив Витебск,Шинник Бобруйск,0,3
09.04.1994,Динамо Брест,КИМ Витебск,0,1
09.04.1994,Торпедо Могилев,Динамо Минск,0,2
09.04.1994,Шахтер Солигорск,Молодечно,0,1
10.04.1994,Днепр Могилёв,Неман Гродно,2,1
14.04.1994,Молодечно,Фандок Бобруйск,2,0
14.04.1994,Шинник Бобруйск,КИМ Витебск,3,1
14.04.1994,Гомсельмаш,Торпедо Минск,0,2
14.04.1994,Локомотив Витебск,Динамо Брест,0,0
14.04.1994,Динамо Минск,Динамо-93 Минск,0,1
14.04.1994,Шахтер Солигорск,Торпедо Могилев,0,0
15.04.1994,Строитель Старые Дороги,Днепр Могилёв,0,2
15.04.1994,Ведрич Речица,Неман Гродно,1,3
19.04.1994,КИМ Витебск,Гомсельмаш,2,1
19.04.1994,Шинник Бобруйск,Фандок Бобруйск,1,3
19.04.1994,Динамо-93 Минск,Торпедо Минск,0,0
20.04.1994,Неман Гродно,Торпедо Могилев,3,0
20.04.1994,Строитель Старые Дороги,Молодечно,1,1
20.04.1994,Динамо Минск,Шахтер Солигорск,8,0
20.04.1994,Днепр Могилёв,Динамо Брест,1,0
20.04.1994,Ведрич Речица,Локомотив Витебск,1,2
24.04.1994,Торпедо Минск,КИМ Витебск,0,0
25.04.1994,Торпедо Могилев,Динамо-93 Минск,2,2
25.04.1994,Динамо Брест,Неман Гродно,1,1
25.04.1994,Шахтер Солигорск,Ведрич Речица,0,0
25.04.1994,Молодечно,Шинник Бобруйск,2,4
25.04.1994,Фандок Бобруйск,Днепр Могилёв,0,0
25.04.1994,Гомсельмаш,Динамо Минск,1,1
25.04.1994,Локомотив Витебск,Строитель Старые Дороги,0,0
30.04.1994,Торпедо Минск,Шинник Бобруйск,0,1
30.04.1994,Неман Гродно,Строитель Старые Дороги,1,0
30.04.1994,Фандок Бобруйск,Локомотив Витебск,4,0
30.04.1994,Торпедо Могилев,Гомсельмаш,1,1
30.04.1994,Динамо-93 Минск,Ведрич Речица,1,0
30.04.1994,Днепр Могилёв,Молодечно,2,1
30.04.1994,Динамо Брест,Шахтер Солигорск,2,0
30.04.1994,КИМ Витебск,Динамо Минск,0,0
05.05.1994,Динамо-93 Минск,Днепр Могилёв,0,2
05.05.1994,Шинник Бобруйск,Неман Гродно,2,0
05.05.1994,Молодечно,Гомсельмаш,0,0
05.05.1994,Ведрич Речица,Торпедо Могилев,0,1
05.05.1994,КИМ Витебск,Фандок Бобруйск,0,0
05.05.1994,Строитель Старые Дороги,Торпедо Минск,0,0
06.05.1994,Динамо Минск,Динамо Брест,3,0
