date,team1,team2,score1,score2
30.03.2013,Днепр Могилев,Гомель,2,1
30.03.2013,Белшина Бобруйск,Динамо Брест,1,0
30.03.2013,Минск,Торпедо-БелАЗ,0,0
30.03.2013,Нафтан Новополоцк,Шахтер Солигорск,0,1
31.03.2013,БАТЭ Борисов,Динамо Минск,1,1
31.03.2013,Неман Гродно,Славия-Мозырь,2,0
07.04.2013,Славия-Мозырь,БАТЭ Борисов,0,1
07.04.2013,Белшина Бобруйск,Неман Гродно,2,2
07.04.2013,Динамо Минск,Минск,3,0
08.04.2013,Торпедо-БелАЗ,Днепр Могилев,1,0
08.04.2013,Динамо Брест,Шахтер Солигорск,0,1
08.04.2013,Гомель,Нафтан Новополоцк,1,1
13.04.2013,Днепр Могилев,Динамо Минск,2,0
13.04.2013,БАТЭ Борисов,Белшина Бобруйск,2,0
13.04.2013,Нафтан Новополоцк,Торпедо-БелАЗ,0,2
13.04.2013,Минск,Славия-Мозырь,1,1
13.04.2013,Неман Гродно,Динамо Брест,2,0
13.04.2013,Шахтер Солигорск,Гомель,0,1
17.04.2013,Динамо Минск,Нафтан Новополоцк,1,1
17.04.2013,Динамо Брест,Гомель,1,1
17.04.2013,Неман Гродно,БАТЭ Борисов,2,1
17.04.2013,Славия-Мозырь,Днепр Могилев,0,0
17.04.2013,Торпедо-БелАЗ,Шахтер Солигорск,0,3
17.04.2013,Белшина Бобруйск,Минск,0,0
21.04.2013,Минск,Неман Гродно,1,0
21.04.2013,Шахтер Солигорск,Динамо Минск,1,1
21.04.2013,Днепр Могилев,Белшина Бобруйск,0,1
21.04.2013,БАТЭ Борисов,Динамо Брест,3,2
22.04.2013,Гомель,Торпедо-БелАЗ,0,0
22.04.2013,Нафтан Новополоцк,Славия-Мозырь,0,0
27.04.2013,БАТЭ Борисов,Минск,2,1
27.04.2013,Белшина Бобруйск,Нафтан Новополоцк,1,0
27.04.2013,Неман Гродно,Днепр Могилев,1,1
28.04.2013,Славия-Мозырь,Шахтер Солигорск,0,2
28.04.2013,Динамо Брест,Торпедо-БелАЗ,2,1
28.04.2013,Динамо Минск,Гомель,1,0
04.05.2013,Днепр Могилев,БАТЭ Борисов,2,1
04.05.2013,Нафтан Новополоцк,Неман Гродно,0,0
04.05.2013,Минск,Динамо Брест,2,0
04.05.2013,Торпедо-БелАЗ,Динамо Минск,2,3
05.05.2013,Гомель,Славия-Мозырь,2,1
05.05.2013,Шахтер Солигорск,Белшина Бобруйск,3,0
11.05.2013,Минск,Днепр Могилев,1,0
11.05.2013,Неман Гродно,Шахтер Солигорск,0,1
11.05.2013,БАТЭ Борисов,Нафтан Новополоцк,3,0
12.05.2013,Динамо Брест,Динамо Минск,0,2
12.05.2013,Славия-Мозырь,Торпедо-БелАЗ,0,3
12.05.2013,Белшина Бобруйск,Гомель,1,1
17.05.2013,Торпедо-БелАЗ,Белшина Бобруйск,0,1
17.05.2013,Шахтер Солигорск,БАТЭ Борисов,0,0
17.05.2013,Динамо Минск,Славия-Мозырь,0,0
17.05.2013,Гомель,Неман Гродно,2,0
18.05.2013,Днепр Могилев,Динамо Брест,0,0
18.05.2013,Нафтан Новополоцк,Минск,1,1
22.05.2013,Белшина Бобруйск,Динамо Минск,1,1
22.05.2013,Минск,Шахтер Солигорск,0,1
24.05.2013,БАТЭ Борисов,Гомель,1,2
24.05.2013,Неман Гродно,Торпедо-БелАЗ,1,1
24.05.2013,Динамо Брест,Славия-Мозырь,1,0
24.05.2013,Днепр Могилев,Нафтан Новополоцк,1,2
30.05.2013,Нафтан Новополоцк,Динамо Брест,1,2
30.05.2013,Славия-Мозырь,Белшина Бобруйск,0,1
31.05.2013,Динамо Минск,Неман Гродно,0,2
31.05.2013,Гомель,Минск,2,0
31.05.2013,Торпедо-БелАЗ,БАТЭ Борисов,0,3
31.05.2013,Шахтер Солигорск,Днепр Могилев,2,0
15.06.2013,Динамо Брест,Белшина Бобруйск,1,0
15.06.2013,Торпедо-БелАЗ,Минск,2,1
15.06.2013,Славия-Мозырь,Неман Гродно,1,0
15.06.2013,Шахтер Солигорск,Нафтан Новополоцк,2,0
15.06.2013,Динамо Минск,БАТЭ Борисов,1,2
15.06.2013,Гомель,Днепр Могилев,0,0
19.06.2013,Днепр Могилев,Торпедо-БелАЗ,0,4
19.06.2013,Шахтер Солигорск,Динамо Брест,5,0
19.06.2013,Неман Гродно,Белшина Бобруйск,2,1
19.06.2013,Минск,Динамо Минск,1,2
19.06.2013,Нафтан Новополоцк,Гомель,0,0
19.06.2013,БАТЭ Борисов,Славия-Мозырь,6,1
23.06.2013,Торпедо-БелАЗ,Нафтан Новополоцк,0,3
23.06.2013,Динамо Брест,Неман Гродно,1,1
23.06.2013,Гомель,Шахтер Солигорск,0,1
23.06.2013,Динамо Минск,Днепр Могилев,2,1
24.06.2013,Белшина Бобруйск,БАТЭ Борисов,0,1
24.06.2013,Славия-Мозырь,Минск,2,3
29.06.2013,Шахтер Солигорск,Торпедо-БелАЗ,2,1
29.06.2013,Нафтан Новополоцк,Динамо Минск,0,0
30.06.2013,Гомель,Динамо Брест,2,0
30.06.2013,БАТЭ Борисов,Неман Гродно,2,0
30.06.2013,Днепр Могилев,Славия-Мозырь,1,0
30.06.2013,Минск,Белшина Бобруйск,2,1
06.07.2013,Белшина Бобруйск,Днепр Могилев,3,1
06.07.2013,Динамо Брест,БАТЭ Борисов,0,0
06.07.2013,Славия-Мозырь,Нафтан Новополоцк,1,1
07.07.2013,Торпедо-БелАЗ,Гомель,1,3
07.07.2013,Неман Гродно,Минск,0,2
08.07.2013,Динамо Минск,Шахтер Солигорск,1,1
12.07.2013,Минск,БАТЭ Борисов,0,1
13.07.2013,Торпедо-БелАЗ,Динамо Брест,2,0
13.07.2013,Шахтер Солигорск,Славия-Мозырь,2,1
14.07.2013,Нафтан Новополоцк,Белшина Бобруйск,3,3
14.07.2013,Гомель,Динамо Минск,1,2
14.07.2013,Днепр Могилев,Неман Гродно,3,1
19.07.2013,БАТЭ Борисов,Днепр Могилев,3,1
20.07.2013,Неман Гродно,Нафтан Новополоцк,1,0
21.07.2013,Славия-Мозырь,Гомель,1,2
21.07.2013,Динамо Брест,Минск,1,1
21.07.2013,Динамо Минск,Торпедо-БелАЗ,1,2
21.07.2013,Белшина Бобруйск,Шахтер Солигорск,1,1
03.08.2013,Торпедо-БелАЗ,Славия-Мозырь,0,1
03.08.2013,Нафтан Новополоцк,БАТЭ Борисов,1,5
03.08.2013,Гомель,Белшина Бобруйск,1,3
04.08.2013,Шахтер Солигорск,Неман Гродно,2,0
04.08.2013,Динамо Минск,Динамо Брест,3,2
04.08.2013,Днепр Могилев,Минск,2,2
